Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude ( N ),Longitude ( E ),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,SURVEY_DATE
494083,UTILITY_POLE,POLE,411343.8449N,0284215.8195E,502.4,26.7,NO,,NO,1.07.2021
494106,UTILITY_POLE,POLE,411340.3932N,0284218.9283E,484.8,24.8,NO,,NO,1.07.2021
494107,UTILITY_POLE,POLE,411341.0523N,0284218.3633E,487.0,24.9,NO,,NO,1.07.2021
494108,UTILITY_POLE,POLE,411341.7729N,0284217.7151E,488.6,22.3,NO,,NO,1.07.2021
494109,UTILITY_POLE,POLE,411343.0372N,0284216.8011E,494.1,20.4,NO,,NO,1.07.2021
494110,UTILITY_POLE,POLE,411342.8897N,0284216.7321E,494.1,22.2,NO,,NO,1.07.2021
494201,UTILITY_POLE,POLE,411446.6883N,0284244.7424E,430.9,38.2,NO,,NO,1.07.2021
494259,UTILITY_POLE,POLE,411414.0781N,0284033.0463E,477.5,26.9,NO,,NO,1.07.2021
494263,UTILITY_POLE,POLE,411413.6664N,0284030.4124E,484.5,24.8,NO,,NO,1.07.2021
494331,UTILITY_POLE,POLE,411357.1992N,0284201.7396E,566.3,25.9,NO,,NO,1.07.2021
494332,UTILITY_POLE,POLE,411355.8882N,0284201.2771E,579.5,47.8,NO,,NO,1.07.2021
494333,UTILITY_POLE,POLE,411355.2872N,0284201.7322E,551.6,24.8,NO,,NO,1.07.2021
494334,UTILITY_POLE,POLE,411353.3308N,0284204.6368E,552.7,35.6,NO,,NO,1.07.2021
494344,UTILITY_POLE,POLE,411510.5988N,0284042.0460E,480.9,50.2,NO,,NO,1.07.2021
494346,UTILITY_POLE,POLE,411513.8641N,0284040.2250E,474.4,41.6,NO,,NO,1.07.2021
494348,UTILITY_POLE,POLE,411515.3917N,0284046.0279E,468.0,49.3,NO,,NO,1.07.2021
494349,UTILITY_POLE,POLE,411519.0609N,0284047.8830E,491.2,53.8,NO,,NO,1.07.2021
494350,UTILITY_POLE,POLE,411520.4175N,0284044.8603E,511.1,56.1,NO,,NO,1.07.2021
494578,UTILITY_POLE,POLE,411642.6789N,0283853.8153E,473.5,68.4,NO,,NO,1.07.2021
494698,UTILITY_POLE,POLE,411522.7711N,0284045.8534E,484.4,24.6,NO,,NO,1.07.2021
494699,UTILITY_POLE,POLE,411527.5209N,0284117.9360E,604.0,99.8,NO,,NO,1.07.2021
494700,UTILITY_POLE,POLE,411529.8263N,0284116.6129E,553.8,40.1,NO,,NO,1.07.2021
494701,UTILITY_POLE,POLE,411543.6600N,0284111.7850E,533.4,27.2,NO,,NO,1.07.2021
494702,UTILITY_POLE,POLE,411538.9208N,0284113.5208E,560.9,45.5,NO,,NO,1.07.2021
494703,UTILITY_POLE,POLE,411539.9844N,0284112.8430E,548.4,35.2,NO,,NO,1.07.2021
494704,UTILITY_POLE,POLE,411540.6238N,0284112.3800E,546.1,32.9,NO,,NO,1.07.2021
494705,UTILITY_POLE,POLE,411522.8585N,0284121.1710E,542.1,39.1,NO,,NO,1.07.2021
494706,UTILITY_POLE,POLE,411525.1752N,0284119.4810E,535.9,40.2,NO,,NO,1.07.2021
494707,UTILITY_POLE,POLE,411551.0849N,0284303.9518E,381.7,67.2,NO,,NO,1.07.2021
494800,UTILITY_POLE,POLE,411615.8186N,0284145.5057E,540.1,22.2,NO,,NO,1.07.2021
494801,UTILITY_POLE,POLE,411615.7844N,0284144.0544E,548.9,27.1,NO,,NO,1.07.2021
494807,UTILITY_POLE,POLE,411549.3327N,0284112.5302E,542.1,22.6,NO,,NO,1.07.2021
494808,UTILITY_POLE,POLE,411546.7401N,0284111.5214E,544.7,32.7,NO,,NO,1.07.2021
494843,UTILITY_POLE,POLE,411512.2764N,0284140.0761E,491.4,40.7,NO,,NO,1.07.2021
494844,UTILITY_POLE,POLE,411513.9998N,0284137.6105E,509.1,39.1,NO,,NO,1.07.2021
494845,UTILITY_POLE,POLE,411515.7250N,0284134.8925E,494.4,39.7,NO,,NO,1.07.2021
494846,UTILITY_POLE,POLE,411517.3019N,0284132.1254E,502.2,39.9,NO,,NO,1.07.2021
494847,UTILITY_POLE,POLE,411518.5153N,0284129.2073E,528.3,39.3,NO,,NO,1.07.2021
494848,UTILITY_POLE,POLE,411520.5930N,0284127.2909E,545.3,39.3,NO,,NO,1.07.2021
494856,UTILITY_POLE,POLE,411544.8764N,0284044.1201E,517.7,25.1,NO,,NO,1.07.2021
494857,UTILITY_POLE,POLE,411544.9790N,0284043.1994E,512.7,26.9,NO,,NO,1.07.2021
494858,UTILITY_POLE,POLE,411543.9132N,0284044.9464E,512.4,27.7,NO,,NO,1.07.2021
494859,UTILITY_POLE,POLE,411543.0019N,0284045.7723E,509.0,26.8,NO,,NO,1.07.2021
494860,UTILITY_POLE,POLE,411541.6728N,0284046.7351E,500.4,25.6,NO,,NO,1.07.2021
494862,UTILITY_POLE,POLE,411536.1228N,0284048.7336E,475.8,21.7,NO,,NO,1.07.2021
494863,UTILITY_POLE,POLE,411537.5147N,0284048.2815E,479.9,19.8,NO,,NO,1.07.2021
494864,UTILITY_POLE,POLE,411538.9743N,0284047.8982E,491.8,27.7,NO,,NO,1.07.2021
494865,UTILITY_POLE,POLE,411540.3957N,0284047.4086E,495.3,26.6,NO,,NO,1.07.2021
494866,UTILITY_POLE,POLE,411543.1398N,0284046.5071E,517.9,39.9,NO,,NO,1.07.2021
494867,UTILITY_POLE,POLE,411543.4662N,0284048.6270E,502.3,37.4,NO,,NO,1.07.2021
495011,UTILITY_POLE,POLE,411606.7656N,0284124.6908E,478.3,29.2,NO,,NO,1.07.2021
495028,UTILITY_POLE,POLE,411617.6384N,0284129.3124E,474.2,27.4,NO,,NO,1.07.2021
495029,UTILITY_POLE,POLE,411616.7096N,0284131.0030E,490.0,23.0,NO,,NO,1.07.2021
495032,UTILITY_POLE,POLE,411619.7621N,0284130.7510E,475.1,24.1,NO,,NO,1.07.2021
495033,UTILITY_POLE,POLE,411619.2450N,0284131.0605E,472.6,19.0,NO,,NO,1.07.2021
495034,UTILITY_POLE,POLE,411622.8623N,0284133.9415E,482.4,25.6,NO,,NO,1.07.2021
495035,UTILITY_POLE,POLE,411623.4358N,0284135.5911E,479.7,24.8,NO,,NO,1.07.2021
495036,UTILITY_POLE,POLE,411623.2851N,0284137.1991E,477.5,24.9,NO,,NO,1.07.2021
495037,UTILITY_POLE,POLE,411619.2307N,0284133.2701E,512.4,26.3,NO,,NO,1.07.2021
495038,UTILITY_POLE,POLE,411618.9108N,0284134.7267E,520.0,26.8,NO,,NO,1.07.2021
495039,UTILITY_POLE,POLE,411618.6264N,0284135.0874E,517.2,19.7,NO,,NO,1.07.2021
495040,UTILITY_POLE,POLE,411618.7383N,0284136.4177E,531.0,27.3,NO,,NO,1.07.2021
495041,UTILITY_POLE,POLE,411618.2992N,0284136.2484E,518.4,13.5,NO,,NO,1.07.2021
495042,UTILITY_POLE,POLE,411617.9472N,0284137.3106E,538.6,30.1,NO,,NO,1.07.2021
495062,UTILITY_POLE,POLE,411614.7593N,0284134.1844E,476.3,23.4,NO,,NO,1.07.2021
495063,UTILITY_POLE,POLE,411614.3583N,0284136.0064E,489.1,24.0,NO,,NO,1.07.2021
495064,UTILITY_POLE,POLE,411614.0396N,0284137.2896E,493.7,18.6,NO,,NO,1.07.2021
495065,UTILITY_POLE,POLE,411621.9729N,0284132.6637E,483.9,24.6,NO,,NO,1.07.2021
495068,UTILITY_POLE,POLE,411610.9237N,0284141.1782E,483.4,26.2,NO,,NO,1.07.2021
495072,UTILITY_POLE,POLE,411611.2767N,0284145.8307E,485.7,15.0,NO,,NO,1.07.2021
495073,UTILITY_POLE,POLE,411612.2432N,0284145.7771E,497.9,20.5,NO,,NO,1.07.2021
495074,UTILITY_POLE,POLE,411612.4671N,0284146.3027E,503.6,22.6,NO,,NO,1.07.2021
495075,UTILITY_POLE,POLE,411612.5926N,0284144.8496E,501.5,22.4,NO,,NO,1.07.2021
495076,UTILITY_POLE,POLE,411612.7190N,0284143.0529E,507.1,24.9,NO,,NO,1.07.2021
495077,UTILITY_POLE,POLE,411613.0281N,0284141.2750E,508.7,22.4,NO,,NO,1.07.2021
