Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT) ,Height (FT),Lighting,Color of Lighting,Group,
LTCC_108,BUILDING,BUILDING,375448.678N,0400853.828E,2471.06,93.50,NO INFO,,NO,
LTCC_109,BUILDING,BUILDING,375449.297N,0400852.148E,2472.34,93.50,NO INFO,,NO,
LTCC_110,BUILDING,BUILDING,375450.667N,0400812.092E,2566.01,123.03,NO INFO,,NO,
LTCC_111,BUILDING,BUILDING,375451.354N,0400810.297E,2568.96,123.03,NO INFO,,NO,
LTCC_112,BUILDING,BUILDING,375450.804N,0400845.781E,2424.97,34.45,NO INFO,,NO,
LTCC_113,BUILDING,BUILDING,375451.909N,0400812.909E,2564.99,123.03,NO INFO,,NO,
LTCC_114,BUILDING,BUILDING,375450.663N,0400854.043E,2401.48,24.61,NO INFO,,NO,
LTCC_115,BUILDING,BUILDING,375451.228N,0400852.401E,2405.12,24.61,NO INFO,,NO,
LTCC_116,BUILDING,BUILDING,375451.529N,0400845.975E,2425.59,34.45,NO INFO,,NO,
LTCC_117,BUILDING,BUILDING,375452.534N,0400823.763E,2511.48,83.66,NO INFO,,NO,
LTCC_118,BUILDING,BUILDING,375453.000N,0400809.811E,2569.95,123.03,NO INFO,,NO,
LTCC_119,BUILDING,BUILDING,375453.149N,0400807.924E,2573.13,123.03,NO INFO,,NO,
LTCC_120,BUILDING,BUILDING,375451.897N,0400850.565E,2408.10,24.61,NO INFO,,NO,
LTCC_121,BUILDING,BUILDING,375452.092N,0400849.664E,2409.81,24.61,NO INFO,,NO,
LTCC_122,BUILDING,BUILDING,375451.769N,0400854.456E,2400.16,24.61,NO INFO,,NO,
LTCC_123,BUILDING,BUILDING,375453.129N,0400813.742E,2563.98,123.03,NO INFO,,NO,
LTCC_124,BUILDING,BUILDING,375452.395N,0400849.243E,2410.40,24.61,NO INFO,,NO,
LTCC_125,BUILDING,BUILDING,375452.308N,0400852.696E,2404.40,24.61,NO INFO,,NO,
LTCC_126,BUILDING,BUILDING,375452.806N,0400847.910E,2412.40,24.61,NO INFO,,NO,
LTCC_127,BUILDING,BUILDING,375449.783N,0401010.245E,2411.65,83.66,NO INFO,,NO,
LTCC_128,BUILDING,BUILDING,375452.803N,0400850.811E,2407.38,24.61,NO INFO,,NO,
