Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAN168,BUILDING,BUILDING,380104.417N,0323104.965E,3718.2,54.1,NO INFO,,NO
LTAN169,BUILDING,BUILDING,380105.276N,0323105.316E,3716.7,54.1,NO INFO,,NO
LTAN170,BUILDING,BUILDING,380106.248N,0323105.280E,3717.4,54.1,NO INFO,,NO
LTAN171,BUILDING,BUILDING,380106.821N,0323106.157E,3712.5,54.1,NO INFO,,NO
LTAN172,BUILDING,BUILDING,380106.768N,0323107.226E,3707.1,54.1,NO INFO,,NO
LTAN173,BUILDING,BUILDING,380106.418N,0323108.107E,3703.5,54.1,NO INFO,,NO
LTAN174,BUILDING,BUILDING,380105.340N,0323107.495E,3706.8,54.1,NO INFO,,NO
LTAN175,BUILDING,BUILDING,380105.631N,0323106.693E,3710.4,54.1,NO INFO,,NO
LTAN176,BUILDING,BUILDING,380104.614N,0323106.079E,3713.6,54.1,NO INFO,,NO
LTAN177,BUILDING,BUILDING,380104.358N,0323106.818E,3710.4,54.1,NO INFO,,NO
LTAN178,BUILDING,BUILDING,380103.355N,0323106.311E,3714.7,54.1,NO INFO,,NO
LTAN179,BUILDING,BUILDING,380103.608N,0323105.418E,3717.4,54.1,NO INFO,,NO
LTAN180,BUILDING,BUILDING,380100.716N,0323104.675E,3687.0,14.8,NO INFO,,NO
LTAN181,BUILDING,BUILDING,380100.331N,0323105.112E,3685.7,14.8,NO INFO,,NO
LTAN182,BUILDING,BUILDING,380100.056N,0323103.232E,3699.1,24.6,NO INFO,,NO
LTAN183,BUILDING,BUILDING,380059.045N,0323105.206E,3684.1,14.8,NO INFO,,NO
LTAN184,BUILDING,BUILDING,380058.604N,0323105.292E,3683.7,14.8,NO INFO,,NO
LTAN185,BUILDING,BUILDING,380057.997N,0323104.301E,3686.4,14.8,NO INFO,,NO
LTAN186,BUILDING,BUILDING,380101.130N,0323102.677E,3689.3,14.8,NO INFO,,NO
