Obstacle_Designator ,AIXM_NAME,Obstacle Type (AIXM),Latitude,Longitude,Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,
LTAW174,TREE,TREE,401602.92N,0362239.30E,3536.70,22.66,NO INFO,,NO,
LTAW175,TREE,TREE,401600.89N,0362240.19E,3539.98,22.27,NO INFO,,NO,
LTAW176,TREE,TREE,401604.12N,0362236.07E,3520.30,22.98,NO INFO,,NO,
LTAW177,TREE,TREE,401606.14N,0362238.57E,3513.74,22.94,NO INFO,,NO,
LTAW178,TREE,TREE,401606.21N,0362236.62E,3500.61,25.46,NO INFO,,NO,
LTAW179,TREE,TREE,401605.60N,0362238.20E,3503.89,10.65,NO INFO,,NO,
LTAW180,TREE,TREE,401604.99N,0362238.56E,3517.02,18.51,NO INFO,,NO,
LTAW181,TREE,TREE,401604.66N,0362239.26E,3526.86,25.35,NO INFO,,NO,
LTAW182,TREE,TREE,401608.21N,0362241.84E,3480.93,23.53,NO INFO,,NO,
LTAW183,TREE,TREE,401605.91N,0362233.49E,3484.21,22.66,NO INFO,,NO,
LTAW184,TREE,TREE,401608.86N,0362233.41E,3418.59,26.43,NO INFO,,NO,
LTAW185,TREE,TREE,401609.33N,0362234.25E,3418.59,23.78,NO INFO,,NO,
LTAW186,TREE,TREE,401608.93N,0362235.50E,3435.00,22.02,NO INFO,,NO,
LTAW187,TREE,TREE,401609.32N,0362235.60E,3435.00,23.36,NO INFO,,NO,
LTAW188,TREE,TREE,401609.56N,0362234.57E,3418.59,22.56,NO INFO,,NO,
LTAW189,TREE,TREE,401609.94N,0362237.42E,3467.81,27.17,NO INFO,,NO,
LTAW190,TREE,TREE,401608.77N,0362237.87E,3484.21,22.61,NO INFO,,NO,
LTAW191,TREE,TREE,401608.20N,0362237.91E,3490.77,24.07,NO INFO,,NO,
LTAW192,TREE,TREE,401611.07N,0362233.75E,3395.63,22.53,NO INFO,,NO,
LTAW193,TREE,TREE,401610.97N,0362235.13E,3418.59,22.10,NO INFO,,NO,
LTAW194,TREE,TREE,401611.49N,0362235.78E,3457.96,57.24,NO INFO,,NO,
LTAW195,TREE,TREE,401611.61N,0362236.00E,3457.96,55.49,NO INFO,,NO,
LTAW196,TREE,TREE,401611.75N,0362236.29E,3464.52,57.85,NO INFO,,NO,
LTAW197,TREE,TREE,401611.92N,0362236.46E,3471.09,63.32,NO INFO,,NO,
LTAW198,TREE,TREE,401612.03N,0362236.66E,3467.81,57.76,NO INFO,,NO,
LTAW199,TREE,TREE,401611.80N,0362236.66E,3474.37,61.59,NO INFO,,NO,
LTAW200,TREE,TREE,401612.01N,0362237.00E,3467.81,52.52,NO INFO,,NO,
LTAW201,TREE,TREE,401612.13N,0362237.16E,3471.09,54.81,NO INFO,,NO,
LTAW202,TREE,TREE,401612.28N,0362237.55E,3464.52,44.85,NO INFO,,NO,
LTAW203,TREE,TREE,401612.58N,0362238.17E,3441.56,23.26,NO INFO,,NO,
LTAW204,TREE,TREE,401612.02N,0362239.17E,3451.40,22.92,NO INFO,,NO,
LTAW205,TREE,TREE,401613.13N,0362237.99E,3438.28,28.17,NO INFO,,NO,
LTAW206,TREE,TREE,401613.01N,0362236.76E,3425.16,25.59,NO INFO,,NO,
LTAW207,TREE,TREE,401612.45N,0362240.67E,3467.81,50.45,NO INFO,,NO,
LTAW208,TREE,TREE,401612.46N,0362240.90E,3454.68,38.70,NO INFO,,NO,
LTAW209,TREE,TREE,401612.48N,0362241.01E,3454.68,39.64,NO INFO,,NO,
LTAW210,TREE,TREE,401612.52N,0362239.29E,3444.84,24.25,NO INFO,,NO,
LTAW211,TREE,TREE,401611.78N,0362240.10E,3464.52,32.96,NO INFO,,NO,
LTAW212,TREE,TREE,401611.70N,0362240.23E,3464.52,31.83,NO INFO,,NO,
LTAW213,TREE,TREE,401611.55N,0362240.42E,3464.52,29.88,NO INFO,,NO,
LTAW214,TREE,TREE,401611.35N,0362240.70E,3467.81,31.10,NO INFO,,NO,
LTAW215,TREE,TREE,401611.38N,0362240.31E,3461.24,22.93,NO INFO,,NO,
LTAW216,TREE,TREE,401611.39N,0362241.77E,3448.12,22.48,NO INFO,,NO,
LTAW217,TREE,TREE,401611.67N,0362242.52E,3444.84,33.59,NO INFO,,NO,
LTAW218,TREE,TREE,401611.98N,0362241.97E,3451.40,36.68,NO INFO,,NO,
LTAW219,TREE,TREE,401612.16N,0362242.15E,3464.52,55.08,NO INFO,,NO,
LTAW220,TREE,TREE,401612.31N,0362242.33E,3464.52,60.45,NO INFO,,NO,
LTAW221,TREE,TREE,401612.29N,0362242.57E,3448.12,48.57,NO INFO,,NO,
LTAW222,TREE,TREE,401612.01N,0362243.55E,3431.72,23.56,NO INFO,,NO,
LTAW223,TREE,TREE,401611.75N,0362244.41E,3441.56,22.62,NO INFO,,NO,
LTAW224,TREE,TREE,401612.92N,0362245.81E,3461.24,22.69,NO INFO,,NO,
LTAW225,TREE,TREE,401611.34N,0362246.39E,3477.65,22.93,NO INFO,,NO,
LTAW226,TREE,TREE,401614.25N,0362233.65E,3379.22,32.46,NO INFO,,NO,
LTAW227,TREE,TREE,401614.45N,0362233.71E,3372.66,23.42,NO INFO,,NO,
LTAW228,TREE,TREE,401614.95N,0362233.83E,3362.82,17.64,NO INFO,,NO,
LTAW229,TREE,TREE,401615.26N,0362233.19E,3359.54,24.68,NO INFO,,NO,
LTAW230,TREE,TREE,401609.34N,0362307.17E,3477.65,22.11,NO INFO,,NO,
LTAW231,TREE,TREE,401609.64N,0362307.64E,3474.37,22.95,NO INFO,,NO,
LTAW232,TREE,TREE,401610.26N,0362308.40E,3471.09,25.70,NO INFO,,NO,
LTAW233,TREE,TREE,401610.52N,0362308.82E,3471.09,29.28,NO INFO,,NO,
LTAW234,TREE,TREE,401610.63N,0362309.23E,3471.09,31.89,NO INFO,,NO,
LTAW235,TREE,TREE,401611.20N,0362310.09E,3474.37,40.57,NO INFO,,NO,
LTAW236,TREE,TREE,401611.06N,0362309.99E,3471.09,36.48,NO INFO,,NO,
LTAW237,TREE,TREE,401610.78N,0362309.33E,3464.52,25.64,NO INFO,,NO,
LTAW238,TREE,TREE,401609.10N,0362305.41E,3500.61,23.15,NO INFO,,NO,
LTAW239,TREE,TREE,401609.01N,0362304.70E,3510.46,24.05,NO INFO,,NO,
LTAW240,TREE,TREE,401608.57N,0362306.44E,3487.49,24.77,NO INFO,,NO,
LTAW241,TREE,TREE,401608.13N,0362306.14E,3487.49,22.15,NO INFO,,NO,
LTAW242,TREE,TREE,401607.73N,0362309.17E,3487.49,23.75,NO INFO,,NO,
LTAW243,TREE,TREE,401610.37N,0362300.85E,3539.98,26.20,NO INFO,,NO,
LTAW244,TREE,TREE,401610.64N,0362300.91E,3536.70,22.95,NO INFO,,NO,
LTAW245,TREE,TREE,401610.13N,0362300.64E,3553.11,38.63,NO INFO,,NO,
LTAW246,TREE,TREE,401605.84N,0362304.13E,3503.89,23.31,NO INFO,,NO,
LTAW247,TREE,TREE,401605.92N,0362304.42E,3507.18,29.40,NO INFO,,NO,
LTAW248,TREE,TREE,401606.86N,0362306.26E,3500.61,33.58,NO INFO,,NO,
LTAW249,TREE,TREE,401605.77N,0362307.61E,3503.89,22.17,NO INFO,,NO,
LTAW250,TREE,TREE,401605.68N,0362307.87E,3507.18,22.90,NO INFO,,NO,
LTAW251,TREE,TREE,401605.13N,0362310.02E,3520.30,28.52,NO INFO,,NO,
LTAW252,TREE,TREE,401603.64N,0362309.03E,3543.26,35.37,NO INFO,,NO,
LTAW253,TREE,TREE,401603.99N,0362308.89E,3533.42,29.82,NO INFO,,NO,
LTAW254,TREE,TREE,401604.38N,0362308.28E,3520.30,22.46,NO INFO,,NO,
LTAW255,TREE,TREE,401604.52N,0362308.60E,3510.46,13.27,NO INFO,,NO,
LTAW256,TREE,TREE,401604.81N,0362309.01E,3517.02,21.94,NO INFO,,NO,
LTAW257,TREE,TREE,401603.62N,0362308.54E,3526.86,19.94,NO INFO,,NO,
LTAW258,TREE,TREE,401602.56N,0362310.73E,3546.54,26.79,NO INFO,,NO,
LTAW259,TREE,TREE,401601.65N,0362308.94E,3553.11,23.06,NO INFO,,NO,
LTAW260,TREE,TREE,401602.36N,0362308.41E,3539.98,18.92,NO INFO,,NO,
LTAW261,TREE,TREE,401602.99N,0362307.16E,3523.58,20.49,NO INFO,,NO,
LTAW262,TREE,TREE,401602.18N,0362305.09E,3530.14,32.04,NO INFO,,NO,
LTAW263,TREE,TREE,401601.95N,0362305.08E,3530.14,31.25,NO INFO,,NO,
LTAW264,TREE,TREE,401602.18N,0362301.25E,3539.98,26.43,NO INFO,,NO,
LTAW265,TREE,TREE,401606.45N,0362259.00E,3539.98,23.86,NO INFO,,NO,
LTAW266,TREE,TREE,401607.15N,0362300.77E,3530.14,22.18,NO INFO,,NO,
LTAW267,TREE,TREE,401606.59N,0362300.68E,3530.14,19.64,NO INFO,,NO,
LTAW268,TREE,TREE,401609.18N,0362258.51E,3546.54,25.63,NO INFO,,NO,
LTAW269,TREE,TREE,401610.24N,0362300.25E,3549.83,33.49,NO INFO,,NO,
LTAW270,TREE,TREE,401612.58N,0362329.81E,3359.54,29.54,NO INFO,,NO,
LTAW271,TREE,TREE,401611.38N,0362329.79E,3343.14,19.46,NO INFO,,NO,
LTAW272,TREE,TREE,401610.63N,0362328.32E,3349.70,37.98,NO INFO,,NO,
LTAW273,TREE,TREE,401610.46N,0362328.43E,3349.70,34.66,NO INFO,,NO,
LTAW274,TREE,TREE,401610.18N,0362328.17E,3362.82,39.97,NO INFO,,NO,
LTAW275,TREE,TREE,401610.80N,0362328.16E,3346.42,37.28,NO INFO,,NO,
LTAW276,TREE,TREE,401610.73N,0362327.62E,3356.26,45.90,NO INFO,,NO,
LTAW277,TREE,TREE,401610.39N,0362327.32E,3352.98,35.28,NO INFO,,NO,
LTAW278,TREE,TREE,401610.19N,0362327.08E,3366.10,43.21,NO INFO,,NO,
LTAW279,TREE,TREE,401609.12N,0362328.07E,3382.50,25.47,NO INFO,,NO,
LTAW280,TREE,TREE,401609.42N,0362328.18E,3389.07,40.71,NO INFO,,NO,
LTAW281,TREE,TREE,401609.22N,0362328.43E,3385.79,31.50,NO INFO,,NO,
LTAW282,TREE,TREE,401608.00N,0362322.62E,3356.26,31.57,NO INFO,,NO,
LTAW283,TREE,TREE,401608.60N,0362322.93E,3343.14,22.43,NO INFO,,NO,
LTAW284,TREE,TREE,401610.47N,0362324.62E,3336.57,25.93,NO INFO,,NO,
LTAW285,TREE,TREE,401611.14N,0362325.73E,3323.45,29.41,NO INFO,,NO,
LTAW286,TREE,TREE,401610.85N,0362325.73E,3323.45,23.05,NO INFO,,NO,
LTAW287,TREE,TREE,401610.77N,0362326.26E,3330.01,23.82,NO INFO,,NO,
