Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_108,BUILDING,BUILDING,375223.329N,0301854.989E,3081.06,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_109,BUILDING,BUILDING,375222.976N,0301853.934E,3091.20,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_110,BUILDING,BUILDING,375223.457N,0301853.898E,3080.82,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_111,BUILDING,BUILDING,375223.430N,0301854.168E,3080.87,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_112,BUILDING,BUILDING,375223.076N,0301854.248E,3081.27,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_113,BUILDING,BUILDING,375222.975N,0301854.607E,3091.26,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_114,BUILDING,BUILDING,375222.917N,0301854.918E,3081.51,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_115,BUILDING,BUILDING,375223.825N,0301853.697E,3080.41,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_116,BUILDING,BUILDING,375222.861N,0301853.432E,3081.44,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_117,BUILDING,BUILDING,375222.842N,0301853.684E,3081.49,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_118,BUILDING,BUILDING,375223.241N,0301852.625E,3081.10,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_119,BUILDING,BUILDING,375223.603N,0301852.949E,3080.85,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_120,BUILDING,BUILDING,375223.955N,0301852.537E,3080.47,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_121,BUILDING,BUILDING,375222.786N,0301854.314E,3081.61,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_122,BUILDING,BUILDING,375222.797N,0301852.984E,3081.54,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_123,BUILDING,BUILDING,375230.261N,0301859.372E,3083.65,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_124,BUILDING,BUILDING,375229.105N,0301858.286E,3084.71,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_125,BUILDING,BUILDING,375229.108N,0301858.755E,3084.74,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_126,BUILDING,BUILDING,375229.072N,0301859.256E,3084.62,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_127,BUILDING,BUILDING,375229.045N,0301900.322E,3084.35,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_128,BUILDING,BUILDING,375229.012N,0301859.745E,3074.78,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_129,BUILDING,BUILDING,375229.202N,0301900.828E,3083.93,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_130,BUILDING,BUILDING,375229.716N,0301900.774E,3073.73,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_131,BUILDING,BUILDING,375229.857N,0301901.096E,3073.42,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_132,BUILDING,BUILDING,375229.696N,0301902.493E,3082.81,24.61,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_133,BUILDING,BUILDING,375229.922N,0301901.722E,3073.13,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_134,BUILDING,BUILDING,375229.499N,0301901.708E,3073.54,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_135,BUILDING,BUILDING,375228.972N,0301902.157E,3073.62,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_136,BUILDING,BUILDING,375229.210N,0301901.690E,3073.77,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_137,BUILDING,BUILDING,375229.010N,0301901.373E,3074.13,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_138,BUILDING,BUILDING,375229.333N,0301902.983E,3072.86,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTFC_139,BUILDING,BUILDING,375229.142N,0301903.161E,3072.82,14.76,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
