Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationAtTop(FT),Height(FT),Lighting,ColorOfLighting,Group,,,,,,,,
LTBO149,BUILDING,BUILDING,384105.30N,0292521.92E,3100,34,NO INFO,,NO,,,,,,,,
LTBO150,BUILDING,BUILDING,384105.20N,0292524.12E,3089,34,NO INFO,,NO,,,,,,,,
LTBO151,BUILDING,BUILDING,384104.17N,0292522.43E,3087,34,NO INFO,,NO,,,,,,,,
LTBO152,BUILDING,BUILDING,384103.81N,0292521.27E,3088,34,NO INFO,,NO,,,,,,,,
LTBO153,BUILDING,BUILDING,384105.63N,0292520.10E,3111,34,NO INFO,,NO,,,,,,,,
LTBO154,BUILDING,BUILDING,384108.52N,0292520.26E,3132,34,NO INFO,,NO,,,,,,,,
LTBO155,BUILDING,BUILDING,384118.39N,0292548.65E,3130,34,NO INFO,,NO,,,,,,,,
LTBO156,BUILDING,BUILDING,384112.76N,0292550.85E,3082,34,NO INFO,,NO,,,,,,,,
LTBO157,BUILDING,BUILDING,384112.17N,0292551.16E,3068,25,NO INFO,,NO,,,,,,,,
LTBO158,BUILDING,BUILDING,384112.51N,0292551.53E,3069,25,NO INFO,,NO,,,,,,,,
LTBO159,BUILDING,BUILDING,384112.23N,0292551.70E,3056,15,NO INFO,,NO,,,,,,,,
LTBO160,BUILDING,BUILDING,384111.60N,0292551.48E,3081,44,NO INFO,,NO,,,,,,,,
LTBO161,BUILDING,BUILDING,384111.78N,0292551.98E,3062,25,NO INFO,,NO,,,,,,,,
LTBO162,BUILDING,BUILDING,384111.34N,0292552.32E,3059,25,NO INFO,,NO,,,,,,,,
LTBO163,BUILDING,BUILDING,384110.83N,0292551.89E,3045,15,NO INFO,,NO,,,,,,,,
LTBO164,BUILDING,BUILDING,384110.77N,0292551.04E,3069,34,NO INFO,,NO,,,,,,,,
LTBO165,BUILDING,BUILDING,384111.09N,0292550.96E,3072,34,NO INFO,,NO,,,,,,,,
LTBO166,BUILDING,BUILDING,384111.44N,0292550.79E,3065,25,NO INFO,,NO,,,,,,,,
LTBO167,BUILDING,BUILDING,384111.75N,0292550.64E,3066,25,NO INFO,,NO,,,,,,,,
LTBO168,BUILDING,BUILDING,384110.47N,0292551.24E,3066,34,NO INFO,,NO,,,,,,,,
LTBO169,BUILDING,BUILDING,384110.05N,0292551.39E,3066,34,NO INFO,,NO,,,,,,,,
LTBO170,BUILDING,BUILDING,384110.27N,0292552.11E,3050,25,NO INFO,,NO,,,,,,,,
LTBO171,BUILDING,BUILDING,384110.46N,0292552.87E,3050,25,NO INFO,,NO,,,,,,,,
LTBO172,BUILDING,BUILDING,384110.90N,0292552.59E,3055,25,NO INFO,,NO,,,,,,,,
LTBO173,BUILDING,BUILDING,384111.62N,0292553.02E,3058,25,NO INFO,,NO,,,,,,,,
LTBO174,BUILDING,BUILDING,384111.98N,0292552.71E,3053,15,NO INFO,,NO,,,,,,,,
LTBO175,BUILDING,BUILDING,384112.50N,0292553.10E,3064,25,NO INFO,,NO,,,,,,,,
LTBO176,BUILDING,BUILDING,384112.68N,0292553.45E,3053,15,NO INFO,,NO,,,,,,,,
LTBO177,BUILDING,BUILDING,384112.87N,0292553.86E,3082,44,NO INFO,,NO,,,,,,,,
LTBO178,BUILDING,BUILDING,384112.01N,0292553.92E,3057,25,NO INFO,,NO,,,,,,,,
LTBO179,BUILDING,BUILDING,384112.92N,0292554.67E,3049,15,NO INFO,,NO,,,,,,,,
LTBO180,BUILDING,BUILDING,384112.77N,0292555.51E,3056,25,NO INFO,,NO,,,,,,,,
LTBO181,BUILDING,BUILDING,384112.60N,0292555.03E,3046,15,NO INFO,,NO,,,,,,,,
LTBO182,BUILDING,BUILDING,384114.01N,0292554.34E,3077,34,NO INFO,,NO,,,,,,,,
LTBO183,BUILDING,BUILDING,384113.16N,0292552.57E,3080,34,NO INFO,,NO,,,,,,,,
LTBO184,BUILDING,BUILDING,384110.27N,0292554.01E,3046,25,NO INFO,,NO,,,,,,,,
LTBO185,BUILDING,BUILDING,384116.82N,0292556.94E,3082,34,NO INFO,,NO,,,,,,,,
LTBO186,BUILDING,BUILDING,384121.66N,0292604.41E,3088,34,NO INFO,,NO,,,,,,,,
LTBO187,BUILDING,BUILDING,384122.38N,0292604.93E,3111,44,NO INFO,,NO,,,,,,,,
LTBO188,BUILDING,BUILDING,384121.95N,0292606.90E,3091,44,NO INFO,,NO,,,,,,,,
LTBO189,BUILDING,BUILDING,384120.66N,0292606.17E,3066,25,NO INFO,,NO,,,,,,,,
LTBO190,BUILDING,BUILDING,384120.15N,0292605.03E,3064,25,NO INFO,,NO,,,,,,,,
LTBO191,BUILDING,BUILDING,384119.40N,0292603.68E,3056,25,NO INFO,,NO,,,,,,,,
LTBO192,BUILDING,BUILDING,384121.59N,0292607.75E,3065,25,NO INFO,,NO,,,,,,,,
LTBO193,BUILDING,BUILDING,384117.98N,0292601.23E,3061,25,NO INFO,,NO,,,,,,,,
LTBO194,BUILDING,BUILDING,384118.13N,0292559.93E,3067,25,NO INFO,,NO,,,,,,,,
LTBO195,BUILDING,BUILDING,384117.81N,0292559.04E,3066,25,NO INFO,,NO,,,,,,,,
LTBO196,BUILDING,BUILDING,384117.07N,0292559.85E,3058,25,NO INFO,,NO,,,,,,,,
LTBO197,BUILDING,BUILDING,384117.64N,0292537.05E,3139,44,NO INFO,,NO,,,,,,,,
LTBO198,BUILDING,BUILDING,384120.50N,0292527.26E,3206,34,NO INFO,,NO,,,,,,,,
LTBO199,BUILDING,BUILDING,384121.79N,0292526.89E,3224,34,NO INFO,,NO,,,,,,,,
LTBO200,BUILDING,BUILDING,384122.47N,0292526.68E,3235,34,NO INFO,,NO,,,,,,,,
LTBO201,BUILDING,BUILDING,384123.39N,0292527.26E,3242,34,NO INFO,,NO,,,,,,,,
LTBO202,BUILDING,BUILDING,384123.94N,0292523.66E,3249,33,NO INFO,,NO,,,,,,,,
LTBO203,BUILDING,BUILDING,384121.50N,0292530.06E,3211,44,NO INFO,,NO,,,,,,,,
LTBO204,MINARET,BUILDING,384121.17N,0292529.78E,3220,51,NO INFO,,NO,,,,,,,,
LTBO205,BUILDING,BUILDING,384121.72N,0292533.19E,3173,34,NO INFO,,NO,,,,,,,,
LTBO206,BUILDING,BUILDING,384122.88N,0292537.08E,3162,34,NO INFO,,NO,,,,,,,,
LTBO207,BUILDING,BUILDING,384115.79N,0292522.92E,3174,34,NO INFO,,NO,,,,,,,,
LTBO208,BUILDING,BUILDING,384113.91N,0292521.24E,3174,34,NO INFO,,NO,,,,,,,,
LTBO209,BUILDING,BUILDING,384113.15N,0292521.87E,3164,34,NO INFO,,NO,,,,,,,,
LTBO210,BUILDING,BUILDING,384112.87N,0292522.19E,3157,34,NO INFO,,NO,,,,,,,,
