Obstacle_designator,AIXM_NAME  ,OTHER Type(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,color of lighting,Group
ENR157,WIND POWER PLANT,WINDMILL,401632.26N,0275031.32E,909,410,YES,OTHER,NO
ENR158,WIND POWER PLANT,WINDMILL,383442.05N,0262629.66E,2134,589,YES,OTHER,NO
ENR159,CHIMNEY,BUILDING,365006.85N,0355244.39E,558,492,YES,OTHER,NO
ENR160,WIND POWER PLANT,WINDMILL,395340.99N,0261129.26E,571,407,YES,OTHER,NO
ENR161,WIND POWER PLANT,WINDMILL,400640.00N,0264616.14E,2918,438,YES,OTHER,NO
ENR162,WIND POWER PLANT,WINDMILL,382208.33N,0301909.26E,6763,589,YES,OTHER,NO
ENR163,WIND POWER PLANT,WINDMILL,383353.47N,0262716.64E,1934,589,YES,OTHER,NO
ENR164,WIND POWER PLANT,WINDMILL,400839.08N,0263743.72E,2272,438,YES,OTHER,NO
ENR165,WIND POWER PLANT,WINDMILL,393117.62N,0270941.54E,2221,430,YES,OTHER,NO
ENR167,WIND POWER PLANT,WINDMILL,382205.23N,0301935.65E,6878,589,YES,OTHER,NO
ENR168,WIND POWER PLANT,WINDMILL,383356.07N,0262641.17E,1983,589,YES,OTHER,NO
ENR169,WIND POWER PLANT,WINDMILL,400811.76N,0264230.92E,2807,438,YES,OTHER,NO
ENR170,WIND POWER PLANT,WINDMILL,373310.37N,0362756.16E,4144,489,YES,OTHER,NO
ENR172,WIND POWER PLANT,WINDMILL,382151.59N,0301907.64E,6744,589,YES,OTHER,NO
ENR173,WIND POWER PLANT,WINDMILL,362310.98N,0360707.07E,4055,486,YES,OTHER,NO
ENR174,WIND POWER PLANT,WINDMILL,373239.69N,0345553.36E,5630,525,YES,OTHER,NO
ENR175,WIND POWER PLANT,WINDMILL,374634.86N,0284825.16E,5818,438,YES,OTHER,NO
ENR176,WIND POWER PLANT,WINDMILL,373206.54N,0362803.90E,3468,489,YES,OTHER,NO
ENR177,WIND POWER PLANT,WINDMILL,400640.36N,0264643.90E,2895,438,YES,OTHER,NO
ENR178,WIND POWER PLANT,WINDMILL,382019.07N,0301758.34E,6462,589,YES,OTHER,NO
ENR179,WIND POWER PLANT,WINDMILL,403238.91N,0290000.36E,3130,531,YES,OTHER,NO
ENR180,WIND POWER PLANT,WINDMILL,404520.70N,0265809.70E,2067,574,YES,OTHER,NO
ENR181,WIND POWER PLANT,WINDMILL,374643.00N,0284819.15E,5687,438,YES,OTHER,NO
ENR182,WIND POWER PLANT,WINDMILL,374313.69N,0371951.92E,6001,489,YES,OTHER,NO
ENR183,WIND POWER PLANT,WINDMILL,382031.49N,0301745.64E,6458,589,YES,OTHER,NO
ENR184,WIND POWER PLANT,WINDMILL,411013.17N,0281527.84E,1066,427,YES,OTHER,NO
ENR185,WIND POWER PLANT,WINDMILL,374651.49N,0284805.72E,5684,438,YES,OTHER,NO
ENR186,WIND POWER PLANT,WINDMILL,395254.37N,0261138.87E,653,407,YES,OTHER,NO
ENR187,WIND POWER PLANT,WINDMILL,362243.60N,0360708.44E,4327,486,YES,OTHER,NO
ENR189,WIND POWER PLANT,WINDMILL,411010.82N,0281540.84E,1066,427,YES,OTHER,NO
ENR190,WIND POWER PLANT,WINDMILL,374655.13N,0284746.46E,5625,438,YES,OTHER,NO
ENR191,WIND POWER PLANT,WINDMILL,395328.18N,0261055.78E,574,407,YES,OTHER,NO
ENR193,WIND POWER PLANT,WINDMILL,395947.63N,0262602.11E,1876,580,YES,OTHER,NO
ENR194,WIND POWER PLANT,WINDMILL,400000.19N,0262557.50E,1925,580,YES,OTHER,NO
ENR195,WIND POWER PLANT,WINDMILL,411009.06N,0281553.55E,1066,427,YES,OTHER,NO
ENR196,WIND POWER PLANT,WINDMILL,383828.09N,0262634.44E,1880,381,YES,OTHER,NO
ENR197,WIND POWER PLANT,WINDMILL,374655.49N,0284725.12E,5782,438,YES,OTHER,NO
ENR198,WIND POWER PLANT,WINDMILL,395305.03N,0261031.01E,584,407,YES,OTHER,NO
ENR200,WIND POWER PLANT,WINDMILL,395923.73N,0262541.98E,1889,580,YES,OTHER,NO
ENR201,WIND POWER PLANT,WINDMILL,411008.32N,0281634.65E,1096,427,YES,OTHER,NO
ENR202,WIND POWER PLANT,WINDMILL,374658.15N,0284712.73E,5769,438,YES,OTHER,NO
ENR203,WIND POWER PLANT,WINDMILL,393114.88N,0270906.98E,2060,407,YES,OTHER,NO
ENR204,WIND POWER PLANT,WINDMILL,400631.68N,0264706.68E,2761,438,YES,OTHER,NO
ENR205,WIND POWER PLANT,WINDMILL,395905.25N,0262511.78E,1977,580,YES,OTHER,NO
ENR206,WIND POWER PLANT,WINDMILL,373105.98N,0345407.17E,7155,525,YES,OTHER,NO
ENR207,WIND POWER PLANT,WINDMILL,411000.90N,0281636.87E,1076,427,YES,OTHER,NO
ENR208,WIND POWER PLANT,WINDMILL,383716.50N,0262628.17E,2231,381,YES,OTHER,NO
ENR209,WIND POWER PLANT,WINDMILL,374706.47N,0284659.66E,5651,438,YES,OTHER,NO
ENR210,WIND POWER PLANT,WINDMILL,373259.14N,0362755.91E,4140,489,YES,OTHER,NO
ENR211,WIND POWER PLANT,WINDMILL,395901.24N,0262528.01E,1958,580,YES,OTHER,NO
ENR212,WIND POWER PLANT,WINDMILL,374714.86N,0284651.06E,5743,438,YES,OTHER,NO
ENR213,WIND POWER PLANT,WINDMILL,411007.59N,0281716.82E,1112,427,YES,OTHER,NO
ENR214,WIND POWER PLANT,WINDMILL,373248.80N,0362735.75E,3871,489,YES,OTHER,NO
ENR216,WIND POWER PLANT,WINDMILL,395901.61N,0262549.13E,1918,580,YES,OTHER,NO
ENR217,WIND POWER PLANT,WINDMILL,410954.63N,0281718.84E,1106,427,YES,OTHER,NO
ENR218,WIND POWER PLANT,WINDMILL,400137.46N,0262226.26E,1494,438,YES,OTHER,NO
