Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTCU207,BUILDING,BUILDING,385225.483N,0403833.744E,3722.1,14.8,NO,,NO,
LTCU208,BUILDING,BUILDING,385226.248N,0403833.364E,3722.1,14.8,NO,,NO,
LTCU209,BUILDING,BUILDING,385225.803N,0403832.842E,3720.2,14.8,NO,,NO,
LTCU210,BUILDING,BUILDING,385225.224N,0403832.356E,3716.7,14.8,NO,,NO,
LTCU211,BUILDING,BUILDING,385224.773N,0403831.808E,3713.6,14.8,NO,,NO,
LTCU212,BUILDING,BUILDING,385225.139N,0403831.842E,3715.3,14.8,NO,,NO,
LTCU213,BUILDING,BUILDING,385224.383N,0403832.634E,3713.2,14.8,NO,,NO,
LTCU214,BUILDING,BUILDING,385223.867N,0403832.056E,3709.1,14.8,NO,,NO,
LTCU215,BUILDING,BUILDING,385224.301N,0403833.221E,3713.9,14.8,NO,,NO,
LTCU216,BUILDING,BUILDING,385224.063N,0403834.162E,3711.6,14.8,NO,,NO,
LTCU217,BUILDING,BUILDING,385224.638N,0403834.777E,3720.5,14.8,NO,,NO,
LTCU218,BUILDING,BUILDING,385223.598N,0403833.653E,3705.7,14.8,NO,,NO,
LTCU219,BUILDING,BUILDING,385223.320N,0403833.250E,3705.7,14.8,NO,,NO,
LTCU220,BUILDING,BUILDING,385223.026N,0403833.044E,3705.7,14.8,NO,,NO,
LTCU221,BUILDING,BUILDING,385222.970N,0403832.514E,3700.9,14.8,NO,,NO,
LTCU222,BUILDING,BUILDING,385225.902N,0403830.940E,3732.4,34.4,NO,,NO,
LTCU223,BUILDING,BUILDING,385226.618N,0403830.337E,3709.7,14.8,NO,,NO,
LTCU224,BUILDING,BUILDING,385227.240N,0403829.606E,3706.0,14.8,NO,,NO,
LTCU225,BUILDING,BUILDING,385227.581N,0403829.079E,3701.1,14.8,NO,,NO,
LTCU226,BUILDING,BUILDING,385227.967N,0403828.441E,3696.8,14.8,NO,,NO,
LTCU227,BUILDING,BUILDING,385227.003N,0403828.582E,3701.0,14.8,NO,,NO,
LTCU228,BUILDING,BUILDING,385226.404N,0403829.566E,3706.4,14.8,NO,,NO,
LTCU229,BUILDING,BUILDING,385226.895N,0403829.956E,3707.9,14.8,NO,,NO,
LTCU230,BUILDING,BUILDING,385226.858N,0403830.572E,3710.5,14.8,NO,,NO,
LTCU231,BUILDING,BUILDING,385226.154N,0403828.997E,3704.7,14.8,NO,,NO,
LTCU232,BUILDING,BUILDING,385226.390N,0403828.596E,3702.4,14.8,NO,,NO,
LTCU233,BUILDING,BUILDING,385227.096N,0403827.409E,3693.1,14.8,NO,,NO,
LTCU234,BUILDING,BUILDING,385225.819N,0403828.121E,3701.0,14.8,NO,,NO,
LTCU235,BUILDING,BUILDING,385225.412N,0403828.780E,3704.8,14.8,NO,,NO,
LTCU236,BUILDING,BUILDING,385226.149N,0403827.463E,3696.3,14.8,NO,,NO,
LTCU237,BUILDING,BUILDING,385226.657N,0403826.834E,3692.5,14.8,NO,,NO,
LTCU238,BUILDING,BUILDING,385225.973N,0403826.299E,3693.9,14.8,NO,,NO,
LTCU239,BUILDING,BUILDING,385225.176N,0403826.235E,3695.4,14.8,NO,,NO,
LTCU240,BUILDING,BUILDING,385224.773N,0403828.236E,3702.6,14.8,NO,,NO,
LTCU241,BUILDING,BUILDING,385224.308N,0403828.933E,3704.0,14.8,NO,,NO,
