Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,
LTCD143,BUILDING,BUILDING,394510.781N,0393237.344E,4083.0,14.76,NO INFO,,NO,,,,
LTCD144,BUILDING,BUILDING,394505.871N,0393234.924E,4077.4,14.76,NO INFO,,NO,,,,
LTCD145,BUILDING,BUILDING,394502.903N,0393233.475E,4073.5,14.76,NO INFO,,NO,,,,
LTCD146,BUILDING,BUILDING,394503.482N,0393233.730E,4084.2,24.60,NO INFO,,NO,,,,
LTCD147,BUILDING,BUILDING,394509.309N,0393236.502E,4081.7,14.76,NO INFO,,NO,,,,
LTCD148,BUILDING,BUILDING,394504.593N,0393234.178E,4085.5,24.60,NO INFO,,NO,,,,
LTCD149,BUILDING,BUILDING,394508.127N,0393235.897E,4090.1,24.60,NO INFO,,NO,,,,
LTCD150,BUILDING,BUILDING,394501.891N,0393232.637E,4082.0,24.60,NO INFO,,NO,,,,
LTCD151,BUILDING,BUILDING,394505.269N,0393234.230E,4086.3,24.60,NO INFO,,NO,,,,
LTCD152,BUILDING,BUILDING,394504.232N,0393233.705E,4075.2,14.76,NO INFO,,NO,,,,
LTCD153,BUILDING,BUILDING,394511.495N,0393237.239E,4084.7,14.76,NO INFO,,NO,,,,
LTCD154,BUILDING,BUILDING,394508.865N,0393235.950E,4090.8,24.60,NO INFO,,NO,,,,
LTCD155,BUILDING,BUILDING,394507.598N,0393235.329E,4079.5,14.76,NO INFO,,NO,,,,
LTCD156,BUILDING,BUILDING,394500.173N,0393231.697E,4069.6,14.76,NO INFO,,NO,,,,
LTCD157,BUILDING,BUILDING,394509.540N,0393236.237E,4081.7,14.76,NO INFO,,NO,,,,
LTCD158,BUILDING,BUILDING,394506.404N,0393234.583E,4088.0,24.60,NO INFO,,NO,,,,
LTCD159,BUILDING,BUILDING,394459.452N,0393231.166E,4068.5,14.76,NO INFO,,NO,,,,
LTCD160,BUILDING,BUILDING,394504.667N,0393233.708E,4075.6,14.76,NO INFO,,NO,,,,
LTCD161,BUILDING,BUILDING,394510.012N,0393236.288E,4092.3,24.60,NO INFO,,NO,,,,
LTCD162,BUILDING,BUILDING,394459.741N,0393231.262E,4069.1,14.76,NO INFO,,NO,,,,
LTCD163,BUILDING,BUILDING,394501.098N,0393231.892E,4070.8,14.76,NO INFO,,NO,,,,
LTCD164,BUILDING,BUILDING,394503.570N,0393232.995E,4084.1,24.60,NO INFO,,NO,,,,
LTCD165,BUILDING,BUILDING,394507.069N,0393234.667E,4088.9,24.60,NO INFO,,NO,,,,
LTCD166,BUILDING,BUILDING,394509.578N,0393235.877E,4081.7,14.76,NO INFO,,NO,,,,
LTCD167,BUILDING,BUILDING,394502.003N,0393232.121E,4072.1,14.76,NO INFO,,NO,,,,
LTCD168,BUILDING,BUILDING,394508.289N,0393234.896E,4090.1,24.60,NO INFO,,NO,,,,
LTCD169,BUILDING,BUILDING,394503.596N,0393232.603E,4074.2,14.76,NO INFO,,NO,,,,
LTCD170,BUILDING,BUILDING,394509.038N,0393235.168E,4091.4,24.60,NO INFO,,NO,,,,
LTCD171,BUILDING,BUILDING,394510.112N,0393235.631E,4092.4,24.60,NO INFO,,NO,,,,
LTCD172,BUILDING,BUILDING,394507.928N,0393234.564E,4079.8,14.76,NO INFO,,NO,,,,
LTCD173,BUILDING,BUILDING,394510.811N,0393235.965E,4083.6,14.76,NO INFO,,NO,,,,
LTCD174,BUILDING,BUILDING,394501.189N,0393231.180E,4070.7,14.76,NO INFO,,NO,,,,
LTCD175,BUILDING,BUILDING,394502.066N,0393231.479E,4081.5,24.60,NO INFO,,NO,,,,
LTCD176,BUILDING,BUILDING,394509.425N,0393235.014E,4081.9,14.76,NO INFO,,NO,,,,
LTCD177,BUILDING,BUILDING,394503.719N,0393232.213E,4083.9,24.60,NO INFO,,NO,,,,
LTCD178,BUILDING,BUILDING,394410.835N,0393206.343E,3948.4,24.60,NO INFO,,NO,,,,
LTCD179,BUILDING,BUILDING,394509.848N,0393235.018E,4082.3,14.76,NO INFO,,NO,,,,
LTCD180,BUILDING,BUILDING,394510.271N,0393235.162E,4083.1,14.76,NO INFO,,NO,,,,
LTCD181,BUILDING,BUILDING,394504.227N,0393232.138E,4074.7,14.76,NO INFO,,NO,,,,
LTCD182,BUILDING,BUILDING,394502.647N,0393231.327E,4072.4,14.76,NO INFO,,NO,,,,
LTCD183,BUILDING,BUILDING,394502.153N,0393231.041E,4071.4,14.76,NO INFO,,NO,,,,
LTCD184,BUILDING,BUILDING,394503.227N,0393231.441E,4083.0,24.60,NO INFO,,NO,,,,
LTCD185,BUILDING,BUILDING,394413.136N,0393206.863E,3953.6,24.60,NO INFO,,NO,,,,
LTCD186,BUILDING,BUILDING,394407.971N,0393204.283E,3941.6,24.60,NO INFO,,NO,,,,
LTCD187,BUILDING,BUILDING,394507.897N,0393233.483E,4079.5,14.76,NO INFO,,NO,,,,
LTCD188,BUILDING,BUILDING,394414.752N,0393207.525E,3957.3,24.60,NO INFO,,NO,,,,
LTCD189,BUILDING,BUILDING,394508.886N,0393233.914E,4080.9,14.76,NO INFO,,NO,,,,
LTCD190,BUILDING,BUILDING,394404.446N,0393202.247E,3922.1,14.76,NO INFO,,NO,,,,
LTCD191,BUILDING,BUILDING,394511.059N,0393234.730E,4095.0,24.60,NO INFO,,NO,,,,
LTCD192,BUILDING,BUILDING,394509.636N,0393233.982E,4082.3,14.76,NO INFO,,NO,,,,
LTCD193,BUILDING,BUILDING,394411.551N,0393204.517E,3949.7,24.60,NO INFO,,NO,,,,
LTCD194,BUILDING,BUILDING,394405.954N,0393201.550E,3936.4,24.60,NO INFO,,NO,,,,
LTCD195,BUILDING,BUILDING,394405.072N,0393200.828E,3924.0,14.76,NO INFO,,NO,,,,
LTCD196,BUILDING,BUILDING,394408.459N,0393202.455E,3942.2,24.60,NO INFO,,NO,,,,
LTCD197,BUILDING,BUILDING,394404.614N,0393200.388E,3923.0,14.76,NO INFO,,NO,,,,
LTCD198,BUILDING,BUILDING,394405.383N,0393200.105E,3925.1,14.76,NO INFO,,NO,,,,
LTCD199,BUILDING,BUILDING,394415.180N,0393203.836E,3956.4,24.60,NO INFO,,NO,,,,
LTCD200,BUILDING,BUILDING,394412.702N,0393202.015E,3951.3,24.60,NO INFO,,NO,,,,
LTCD201,BUILDING,BUILDING,394407.403N,0393159.050E,3929.4,14.76,NO INFO,,NO,,,,
LTCD202,BUILDING,BUILDING,394407.114N,0393157.246E,3928.0,14.76,NO INFO,,NO,,,,
LTCD203,BUILDING,BUILDING,394416.057N,0393201.391E,3956.1,24.60,NO INFO,,NO,,,,
LTCD204,BUILDING,BUILDING,394413.511N,0393159.718E,3949.9,24.60,NO INFO,,NO,,,,
LTCD205,BUILDING,BUILDING,394407.210N,0393156.184E,3928.2,14.76,NO INFO,,NO,,,,
LTCD206,BUILDING,BUILDING,394410.199N,0393155.941E,3943.4,24.60,NO INFO,,NO,,,,
LTCD207,BUILDING,BUILDING,394417.071N,0393159.243E,3956.7,24.60,NO INFO,,NO,,,,
LTCD208,BUILDING,BUILDING,394411.746N,0393156.632E,3946.6,24.60,NO INFO,,NO,,,,
LTCD209,BUILDING,BUILDING,394415.229N,0393158.165E,3952.5,24.60,NO INFO,,NO,,,,
LTCD210,BUILDING,BUILDING,394506.080N,0393221.094E,4078.3,14.76,NO INFO,,NO,,,,
LTCD211,BUILDING,BUILDING,394505.913N,0393220.685E,4078.4,14.76,NO INFO,,NO,,,,
LTCD212,BUILDING,BUILDING,394508.776N,0393221.365E,4083.9,14.76,NO INFO,,NO,,,,
LTCD213,BUILDING,BUILDING,394414.764N,0393155.001E,3951.5,24.60,NO INFO,,NO,,,,
LTCD214,BUILDING,BUILDING,394412.172N,0393153.386E,3945.7,24.60,NO INFO,,NO,,,,
LTCD215,BUILDING,BUILDING,394507.898N,0393220.183E,4082.0,14.76,NO INFO,,NO,,,,
LTCD216,BUILDING,BUILDING,394409.696N,0393151.753E,3940.2,24.60,NO INFO,,NO,,,,
LTCD217,BUILDING,BUILDING,394507.797N,0393218.632E,4092.1,24.60,NO INFO,,NO,,,,
LTCD218,BUILDING,BUILDING,394412.819N,0393151.530E,3946.4,24.60,NO INFO,,NO,,,,
LTCD219,BUILDING,BUILDING,394410.272N,0393149.945E,3939.8,24.60,NO INFO,,NO,,,,
LTCD220,BUILDING,BUILDING,394506.417N,0393216.365E,4089.3,24.60,NO INFO,,NO,,,,
LTCD221,BUILDING,BUILDING,394508.372N,0393217.101E,4083.2,14.76,NO INFO,,NO,,,,
