Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group,
LTCM448,MEDIUM VOLTAGE LINE MAST,TRANSMISSION_LINE,415858.523N,0350430.581E,327,72,NO,,NO,
LTCM449,BUILDING,BUILDING,420028.773N,0350609.256E,466,25,NO,,NO,
LTCM450,BUILDING,BUILDING,420031.147N,0350611.030E,462,25,NO,,NO,
LTCM451,BUILDING,BUILDING,420024.171N,0350609.956E,463,15,NO,,NO,
LTCM452,BUILDING,BUILDING,420024.834N,0350610.091E,471,25,NO,,NO,
LTCM453,BUILDING,BUILDING,420025.049N,0350609.779E,466,25,NO,,NO,
LTCM454,BUILDING,BUILDING,420027.611N,0350610.455E,468,25,NO,,NO,
LTCM455,BUILDING,BUILDING,420021.620N,0350612.379E,461,15,NO,,NO,
LTCM456,BUILDING,BUILDING,420023.451N,0350612.172E,484,25,NO,,NO,
LTCM457,BUILDING,BUILDING,420024.438N,0350612.656E,474,15,NO,,NO,
LTCM458,BUILDING,BUILDING,420039.272N,0350619.676E,468,25,NO,,NO,
LTCM459,BUILDING,BUILDING,420045.423N,0350625.416E,468,25,NO,,NO,
LTCM460,BUILDING,BUILDING,415917.833N,0350250.028E,605,15,NO,,NO,
LTCM461,BUILDING,BUILDING,415918.383N,0350251.492E,605,15,NO,,NO,
LTCM462,BUILDING,BUILDING,415918.202N,0350251.968E,605,15,NO,,NO,
LTCM463,BUILDING,BUILDING,420041.281N,0350616.281E,462,25,NO,,NO,
LTCM464,BUILDING,BUILDING,420023.567N,0350611.031E,474,15,NO,,NO,
LTCM465,BUILDING,BUILDING,415940.648N,0350351.333E,428,34,NO,,NO,
LTCM466,BUILDING,BUILDING,415941.976N,0350349.876E,428,34,NO,,NO,
LTCM467,BUILDING,BUILDING,420022.787N,0350605.600E,433,34,NO,,NO,
LTCM468,BUILDING,BUILDING,420018.740N,0350610.488E,460,34,NO,,NO,
LTCM469,BUILDING,BUILDING,420027.550N,0350619.083E,399,34,NO,,NO,
LTCM470,BUILDING,BUILDING,420026.448N,0350618.713E,401,34,NO,,NO,
LTCM471,BUILDING,BUILDING,420036.734N,0350615.320E,461,34,NO,,NO,
LTCM472,BUILDING,BUILDING,420033.681N,0350643.936E,193,34,NO,,NO,
LTCM473,BUILDING,BUILDING,415942.725N,0350414.247E,364,34,NO,,NO,
LTCM474,BUILDING,BUILDING,420101.032N,0350716.511E,221,34,NO,,NO,
LTCM475,BUILDING,BUILDING,420103.768N,0350717.272E,231,34,NO,,NO,
LTCM476,BUILDING,BUILDING,420050.792N,0350609.491E,341,34,NO,,NO,
LTCM477,BUILDING,BUILDING,415855.200N,0350242.607E,399,34,NO,,NO,
LTCM478,BUILDING,BUILDING,415843.047N,0350250.975E,339,34,NO,,NO,
LTCM479,TREE,TREE,415943.156N,0350248.544E,321,49,NO,,NO,
LTCM480,TREE,TREE,420017.856N,0350356.243E,180,49,NO,,NO,
LTCM481,TREE,TREE,415857.063N,0350316.093E,376,49,NO,,NO,
LTCM482,TREE,TREE,420013.508N,0350116.420E,344,49,NO,,NO,
LTCM483,TREE,TREE,420056.167N,0350151.572E,295,49,NO,,NO,
LTCM484,TREE,TREE,420115.972N,0350158.186E,114,49,NO,,NO,
LTCM485,VOR ANTENNA,ANTENNA,420120.30N,0350436.50E,37,15,NO,,NO,
LTCM486,NDB ANTENNA,ANTENNA,420119.90N,0350435.70E,62,49,NO,,NO,
LTCM487,DME ANTENNA,ANTENNA,420120.30N,0350436.20E,38,30,YES,RED,NO,
LTCM488,TREE,TREE,420045.02N,0350324.40E,78,52,NO,,NO,
LTCM490,TREE,TREE,420045.58N,0350334.19E,74,49,NO,,NO,
LTCM491,TREE,TREE,420040.14N,0350346.21E,84,59,NO,,NO,
LTCM492,TREE,TREE,420043.08N,0350348.85E,52,28,NO,,NO,
LTCM493,TREE,TREE,420052.87N,0350345.71E,43,21,NO,,NO,
LTCM494,TREE,TREE,420051.35N,0350338.01E,83,59,NO,,NO,
LTCM495,TREE,TREE,420114.74N,0350420.56E,31,23,NO,,NO,
LTCM496,HIGH VOLTAGE LINE MAST,TRANSMISSION_LINE,420044.36N,0350325.17E,65,39,NO,,NO,
LTCM497,LOW VOLTAGE LINE MAST,TRANSMISSION_LINE,420042.30N,0350327.30E,60,31,NO,,NO,
LTCM498,LOW VOLTAGE LINE MAST,TRANSMISSION_LINE,420043.23N,0350328.85E,63,31,NO,,NO,
LTCM499,TREE,TREE,420125.36N,0350508.31E,90,33,NO,,NO,
LTCM500,TREE,TREE,420124.27N,0350506.78E,67,26,NO,,NO,
LTCM501,TREE,TREE,420123.63N,0350506.08E,75,43,NO,,NO,
LTCM502,TREE,TREE,420125.37N,0350513.77E,123,33,NO,,NO,
LTCM503,TREE,TREE,420046.97N,0350327.13E,72,46,NO,,NO,
LTCM504,LOW VOLTAGE LINE MAST,TRANSMISSION_LINE,420125.52N,0350507.76E,80,26,NO,,NO,
LTCM505,LOW VOLTAGE LINE MAST,TRANSMISSION_LINE,420045.12N,0350326.45E,71,46,NO,,NO,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
