Obstacle_Designator,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),ElevationatTop(FT),Height(FT),Lighting,ColorofLighting,Group
LTBU223,BUILDING,BUILDING,410927.043N,0275257.358E,734,15,NO INFO,,NO
LTBU224,BUILDING,BUILDING,410927.237N,0275254.219E,741,25,NO INFO,,NO
LTBU225,BUILDING,BUILDING,410928.449N,0275255.876E,745,25,NO INFO,,NO
LTBU226,BUILDING,BUILDING,410928.115N,0275258.404E,737,15,NO INFO,,NO
LTBU227,BUILDING,BUILDING,410929.624N,0275255.975E,756,34,NO INFO,,NO
LTBU228,BUILDING,BUILDING,410930.230N,0275257.128E,737,15,NO INFO,,NO
LTBU229,BUILDING,BUILDING,410929.680N,0275257.042E,746,25,NO INFO,,NO
LTBU230,BUILDING,BUILDING,410930.230N,0275254.149E,733,15,NO INFO,,NO
LTBU231,BUILDING,BUILDING,410930.124N,0275255.190E,754,34,NO INFO,,NO
LTBU232,BUILDING,BUILDING,410930.725N,0275254.219E,733,15,NO INFO,,NO
LTBU233,BUILDING,BUILDING,410930.795N,0275255.021E,744,25,NO INFO,,NO
LTBU234,BUILDING,BUILDING,410930.640N,0275255.822E,735,15,NO INFO,,NO
LTBU235,BUILDING,BUILDING,410931.398N,0275255.038E,744,25,NO INFO,,NO
LTBU236,BUILDING,BUILDING,410929.981N,0275253.346E,752,34,NO INFO,,NO
LTBU237,BUILDING,BUILDING,410931.417N,0275256.839E,745,25,NO INFO,,NO
LTBU238,BUILDING,BUILDING,410930.708N,0275251.413E,739,25,NO INFO,,NO
LTBU239,BUILDING,BUILDING,410930.906N,0275251.623E,729,15,NO INFO,,NO
LTBU240,BUILDING,BUILDING,410932.896N,0275253.792E,732,15,NO INFO,,NO
LTBU241,BUILDING,BUILDING,410933.267N,0275254.239E,731,15,NO INFO,,NO
LTBU242,BUILDING,BUILDING,410933.015N,0275255.764E,751,34,NO INFO,,NO
LTBU243,BUILDING,BUILDING,410935.937N,0275254.071E,723,15,NO INFO,,NO
LTBU244,BUILDING,BUILDING,410936.199N,0275254.365E,722,15,NO INFO,,NO
LTBU245,BUILDING,BUILDING,410936.530N,0275254.367E,721,15,NO INFO,,NO
LTBU246,BUILDING,BUILDING,410935.364N,0275256.255E,743,34,NO INFO,,NO
LTBU247,BUILDING,BUILDING,410935.424N,0275254.099E,725,15,NO INFO,,NO
LTBU248,BUILDING,BUILDING,410937.186N,0275253.458E,720,15,NO INFO,,NO
LTBU249,BUILDING,BUILDING,410937.371N,0275253.295E,720,15,NO INFO,,NO
LTBU250,BUILDING,BUILDING,410936.848N,0275253.582E,721,15,NO INFO,,NO
LTBU251,BUILDING,BUILDING,410937.057N,0275253.793E,720,15,NO INFO,,NO
LTBU252,BUILDING,BUILDING,410937.285N,0275255.387E,730,25,NO INFO,,NO
LTBU253,BUILDING,BUILDING,410938.412N,0275253.394E,730,25,NO INFO,,NO
LTBU254,BUILDING,BUILDING,410939.115N,0275253.285E,720,15,NO INFO,,NO
LTBU255,BUILDING,BUILDING,410939.568N,0275254.490E,720,15,NO INFO,,NO
LTBU256,BUILDING,BUILDING,410940.384N,0275253.333E,730,25,NO INFO,,NO
LTBU257,BUILDING,BUILDING,410940.494N,0275251.062E,720,15,NO INFO,,NO
LTBU258,BUILDING,BUILDING,410946.122N,0275257.616E,730,25,NO INFO,,NO
LTBU259,BUILDING,BUILDING,410943.540N,0275255.472E,730,25,NO INFO,,NO
LTBU260,BUILDING,BUILDING,410943.526N,0275256.085E,720,15,NO INFO,,NO
LTBU261,BUILDING,BUILDING,410943.261N,0275255.446E,720,15,NO INFO,,NO
LTBU262,BUILDING,BUILDING,410942.978N,0275255.288E,720,15,NO INFO,,NO
LTBU263,BUILDING,BUILDING,410943.026N,0275255.808E,720,15,NO INFO,,NO
LTBU264,BUILDING,BUILDING,410942.412N,0275255.310E,720,15,NO INFO,,NO
LTBU265,BUILDING,BUILDING,410941.287N,0275256.180E,720,15,NO INFO,,NO
LTBU266,BUILDING,BUILDING,410937.135N,0275256.189E,740,34,NO INFO,,NO
LTBU267,BUILDING,BUILDING,410936.580N,0275257.157E,720,15,NO INFO,,NO
LTBU268,BUILDING,BUILDING,410937.277N,0275257.952E,740,34,NO INFO,,NO
LTBU269,BUILDING,BUILDING,410936.602N,0275258.954E,720,15,NO INFO,,NO
LTBU270,BUILDING,BUILDING,410936.816N,0275258.975E,730,25,NO INFO,,NO
LTBU271,BUILDING,BUILDING,410936.134N,0275258.682E,720,15,NO INFO,,NO
LTBU272,BUILDING,BUILDING,410936.061N,0275259.802E,740,34,NO INFO,,NO
LTBU273,BUILDING,BUILDING,410935.367N,0275259.811E,724,15,NO INFO,,NO
LTBU274,BUILDING,BUILDING,410935.095N,0275259.370E,725,15,NO INFO,,NO
LTBU275,BUILDING,BUILDING,410935.326N,0275257.066E,743,34,NO INFO,,NO
LTBU276,BUILDING,BUILDING,410935.668N,0275256.859E,722,15,NO INFO,,NO
LTBU277,BUILDING,BUILDING,410936.088N,0275257.227E,721,15,NO INFO,,NO
LTBU278,BUILDING,BUILDING,410936.415N,0275256.099E,721,15,NO INFO,,NO
LTBU279,BUILDING,BUILDING,410933.671N,0275257.304E,728,15,NO INFO,,NO
LTBU280,BUILDING,BUILDING,410932.480N,0275257.448E,733,15,NO INFO,,NO
LTBU281,BUILDING,BUILDING,410934.286N,0275257.478E,746,34,NO INFO,,NO
LTBU282,BUILDING,BUILDING,410932.441N,0275258.937E,736,15,NO INFO,,NO
LTBU283,BUILDING,BUILDING,410932.819N,0275258.905E,734,15,NO INFO,,NO
LTBU284,BUILDING,BUILDING,410932.539N,0275259.978E,737,15,NO INFO,,NO
LTBU285,BUILDING,BUILDING,410934.352N,0275259.986E,728,15,NO INFO,,NO
LTBU286,BUILDING,BUILDING,410934.120N,0275259.833E,740,25,NO INFO,,NO
LTBU287,BUILDING,BUILDING,410934.425N,0275300.357E,729,15,NO INFO,,NO
LTBU288,BUILDING,BUILDING,410931.721N,0275258.779E,737,15,NO INFO,,NO
LTBU289,BUILDING,BUILDING,410931.483N,0275259.444E,737,15,NO INFO,,NO
LTBU290,BUILDING,BUILDING,410930.900N,0275259.450E,756,34,NO INFO,,NO
LTBU291,BUILDING,BUILDING,410937.247N,0275300.690E,720,15,NO INFO,,NO
LTBU292,BUILDING,BUILDING,410936.801N,0275300.625E,720,15,NO INFO,,NO
LTBU293,BUILDING,BUILDING,410939.746N,0275254.154E,720,15,NO INFO,,NO
LTBU294,BUILDING,BUILDING,410927.400N,0275254.994E,732,15,NO INFO,,NO
LTBU295,BUILDING,BUILDING,410928.259N,0275251.633E,728,15,NO INFO,,NO
LTBU296,TERRAIN,NATURAL_HIGHPOINT,410805.751N,0275500.151E,535,0.10,NO INFO,,NO
LTBU297,TERRAIN,NATURAL_HIGHPOINT,410809.942N,0275508.591E,558,0.10,NO INFO,,NO
LTBU298,TERRAIN,NATURAL_HIGHPOINT,410814.497N,0275513.543E,556,0.10,NO INFO,,NO
