Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,
LTAP_846,BUILDING,BUILDING,405202.25N,0353207.15E,1943.90,14.76,NO,,NO,,
LTAP_847,BUILDING,BUILDING,405201.77N,0353207.38E,1942.78,14.76,NO,,NO,,
LTAP_848,BUILDING,BUILDING,405157.99N,0353204.61E,1938.55,14.76,NO,,NO,,
LTAP_849,BUILDING,BUILDING,405156.20N,0353156.06E,1953.62,24.61,NO,,NO,,
LTAP_850,MOSQUE,BUILDING,405146.52N,0353150.12E,1942.71,24.61,NO,,NO,,
LTAP_851,MINARET,BUILDING,405146.69N,0353149.72E,1968.10,49.21,NO,,NO,,
LTAP_852,BUILDING,BUILDING,405147.35N,0353140.25E,1943.69,14.76,NO,,NO,,
LTAP_853,BUILDING,BUILDING,405145.58N,0353144.01E,1938.57,14.76,NO,,NO,,
LTAP_854,BUILDING,BUILDING,405146.10N,0353145.04E,1937.81,14.76,NO,,NO,,
LTAP_855,BUILDING,BUILDING,405146.29N,0353143.94E,1939.09,14.76,NO,,NO,,
LTAP_856,BUILDING,BUILDING,405146.27N,0353145.75E,1937.18,14.76,NO,,NO,,
LTAP_857,BUILDING,BUILDING,405146.56N,0353146.08E,1937.04,14.76,NO,,NO,,
LTAP_858,BUILDING,BUILDING,405146.68N,0353146.43E,1937.01,14.76,NO,,NO,,
LTAP_859,BUILDING,BUILDING,405146.73N,0353146.86E,1936.88,14.76,NO,,NO,,
LTAP_860,BUILDING,BUILDING,405146.76N,0353147.16E,1936.76,14.76,NO,,NO,,
LTAP_861,BUILDING,BUILDING,405146.86N,0353147.54E,1946.32,24.61,NO,,NO,,
LTAP_862,BUILDING,BUILDING,405147.71N,0353145.22E,1939.52,14.76,NO,,NO,,
LTAP_863,BUILDING,BUILDING,405148.20N,0353145.52E,1940.24,14.76,NO,,NO,,
LTAP_864,BUILDING,BUILDING,405148.68N,0353145.66E,1940.88,14.76,NO,,NO,,
LTAP_865,BUILDING,BUILDING,405149.08N,0353146.22E,1940.70,14.76,NO,,NO,,
LTAP_866,BUILDING,BUILDING,405147.93N,0353145.75E,1939.63,14.76,NO,,NO,,
LTAP_867,BUILDING,BUILDING,405147.57N,0353145.84E,1938.93,14.76,NO,,NO,,
LTAP_868,BUILDING,BUILDING,405147.72N,0353146.51E,1938.72,14.76,NO,,NO,,
LTAP_869,BUILDING,BUILDING,405148.01N,0353147.09E,1938.36,14.76,NO,,NO,,
LTAP_870,BUILDING,BUILDING,405147.42N,0353146.68E,1938.15,14.76,NO,,NO,,
LTAP_871,BUILDING,BUILDING,405147.18N,0353145.17E,1938.57,14.76,NO,,NO,,
LTAP_872,BUILDING,BUILDING,405146.27N,0353147.12E,1935.92,14.76,NO,,NO,,
LTAP_873,BUILDING,BUILDING,405146.15N,0353147.75E,1935.34,14.76,NO,,NO,,
LTAP_874,BUILDING,BUILDING,405145.53N,0353147.35E,1935.01,14.76,NO,,NO,,
LTAP_875,BUILDING,BUILDING,405144.73N,0353147.91E,1934.01,14.76,NO,,NO,,
LTAP_876,BUILDING,BUILDING,405145.31N,0353148.08E,1934.11,14.76,NO,,NO,,
LTAP_877,BUILDING,BUILDING,405145.59N,0353148.09E,1934.25,14.76,NO,,NO,,
LTAP_878,BUILDING,BUILDING,405145.51N,0353148.64E,1933.62,14.76,NO,,NO,,
LTAP_879,BUILDING,BUILDING,405146.07N,0353148.59E,1934.26,14.76,NO,,NO,,
LTAP_880,BUILDING,BUILDING,405146.55N,0353148.70E,1944.53,24.61,NO,,NO,,
LTAP_881,BUILDING,BUILDING,405147.47N,0353148.12E,1936.50,14.76,NO,,NO,,
LTAP_882,BUILDING,BUILDING,405147.71N,0353147.88E,1937.09,14.76,NO,,NO,,
LTAP_883,BUILDING,BUILDING,405147.62N,0353147.51E,1937.39,14.76,NO,,NO,,
