Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group,,,,
LTBF_153,BUILDING,BUILDING,393729.987N,0275237.413E,681.64,63.98,NO INFO,,NO,,,,
LTBF_154,BUILDING,BUILDING,393731.336N,0275238.084E,675.53,63.98,NO INFO,,NO,,,,
LTBF_155,BUILDING,BUILDING,393731.399N,0275238.939E,664.17,63.98,NO INFO,,NO,,,,
LTBF_156,BUILDING,BUILDING,393730.812N,0275239.077E,664.78,63.98,NO INFO,,NO,,,,
LTBF_157,BUILDING,BUILDING,393730.915N,0275237.701E,677.64,63.98,NO INFO,,NO,,,,
LTBF_158,BUILDING,BUILDING,393730.625N,0275238.112E,663.47,54.13,NO INFO,,NO,,,,
LTBF_159,BUILDING,BUILDING,393730.656N,0275238.548E,659.22,54.13,NO INFO,,NO,,,,
LTBF_160,BUILDING,BUILDING,393729.384N,0275236.782E,678.24,54.13,NO INFO,,NO,,,,
LTBF_161,BUILDING,BUILDING,393729.388N,0275237.250E,671.63,54.13,NO INFO,,NO,,,,
LTBF_162,BUILDING,BUILDING,393734.746N,0275238.798E,650.59,54.13,NO INFO,,NO,,,,
LTBF_163,BUILDING,BUILDING,393733.978N,0275238.939E,652.35,54.13,NO INFO,,NO,,,,
LTBF_164,BUILDING,BUILDING,393733.949N,0275238.169E,659.67,54.13,NO INFO,,NO,,,,
LTBF_165,BUILDING,BUILDING,393733.269N,0275238.396E,659.14,54.13,NO INFO,,NO,,,,
LTBF_166,BUILDING,BUILDING,393733.308N,0275239.204E,649.97,54.13,NO INFO,,NO,,,,
LTBF_167,BUILDING,BUILDING,393723.413N,0275247.597E,563.93,34.45,NO INFO,,NO,,,,
LTBF_168,BUILDING,BUILDING,393723.018N,0275247.316E,563.94,34.45,NO INFO,,NO,,,,
LTBF_169,BUILDING,BUILDING,393722.702N,0275248.320E,555.91,34.45,NO INFO,,NO,,,,
LTBF_170,BUILDING,BUILDING,393722.352N,0275249.168E,548.33,34.45,NO INFO,,NO,,,,
LTBF_171,BUILDING,BUILDING,393724.984N,0275250.345E,545.14,34.45,NO INFO,,NO,,,,
LTBF_172,BUILDING,BUILDING,393726.035N,0275250.843E,540.86,34.45,NO INFO,,NO,,,,
LTBF_173,BUILDING,BUILDING,393725.941N,0275248.696E,553.43,34.45,NO INFO,,NO,,,,
LTBF_174,BUILDING,BUILDING,393727.473N,0275251.816E,541.23,34.45,NO INFO,,NO,,,,
LTBF_175,BUILDING,BUILDING,393726.341N,0275247.100E,572.01,44.29,NO INFO,,NO,,,,
LTBF_176,BUILDING,BUILDING,393758.807N,0275240.331E,558.54,44.29,NO INFO,,NO,,,,
LTBF_177,BUILDING,BUILDING,393755.380N,0275241.000E,579.56,54.13,NO INFO,,NO,,,,
LTBF_178,BUILDING,BUILDING,393756.043N,0275241.363E,573.99,54.13,NO INFO,,NO,,,,
LTBF_179,BUILDING,BUILDING,393756.179N,0275242.307E,551.04,34.45,NO INFO,,NO,,,,
LTBF_180,BUILDING,BUILDING,393754.538N,0275243.770E,573.99,54.13,NO INFO,,NO,,,,
LTBF_181,BUILDING,BUILDING,393754.842N,0275244.639E,558.06,44.29,NO INFO,,NO,,,,
LTBF_182,BUILDING,BUILDING,393754.887N,0275244.042E,550.30,34.45,NO INFO,,NO,,,,
LTBF_183,BUILDING,BUILDING,393737.543N,0275238.759E,626.41,34.45,NO INFO,,NO,,,,
LTBF_184,BUILDING,BUILDING,393739.486N,0275238.954E,652.13,63.98,NO INFO,,NO,,,,
LTBF_185,BUILDING,BUILDING,393740.547N,0275239.058E,647.78,63.98,NO INFO,,NO,,,,
LTBF_186,BUILDING,BUILDING,393741.538N,0275238.835E,648.73,63.98,NO INFO,,NO,,,,
LTBF_187,BUILDING,BUILDING,393741.577N,0275242.996E,597.07,44.29,NO INFO,,NO,,,,
LTBF_188,BUILDING,BUILDING,393741.432N,0275241.673E,597.23,34.45,NO INFO,,NO,,,,
LTBF_189,BUILDING,BUILDING,393741.878N,0275244.487E,594.39,54.13,NO INFO,,NO,,,,
LTBF_190,BUILDING,BUILDING,393740.252N,0275246.173E,606.64,73.82,NO INFO,,NO,,,,
LTBF_191,BUILDING,BUILDING,393739.724N,0275245.327E,604.85,63.98,NO INFO,,NO,,,,
LTBF_192,BUILDING,BUILDING,393745.291N,0275246.803E,593.31,63.98,NO INFO,,NO,,,,
LTBF_193,BUILDING,BUILDING,393745.268N,0275247.568E,587.82,63.98,NO INFO,,NO,,,,
LTBF_194,BUILDING,BUILDING,393745.260N,0275246.083E,588.73,54.13,NO INFO,,NO,,,,
LTBF_195,BUILDING,BUILDING,393745.233N,0275248.599E,564.88,44.29,NO INFO,,NO,,,,
LTBF_196,BUILDING,BUILDING,393746.129N,0275246.801E,579.27,44.29,NO INFO,,NO,,,,
LTBF_197,BUILDING,BUILDING,393743.769N,0275246.802E,568.51,44.29,NO INFO,,NO,,,,
