Obstacle_Designator    ,AIXM_NAME,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT),Height (FT),Lighting,Color of Lighting,Group
LTFO162,BUILDING,BUILDING,411031.76N,0405223.30E,450.82,24.61,NO INFO,,NO
LTFO163,BUILDING,BUILDING,411025.37N,0405223.32E,446.13,34.45,NO INFO,,NO
LTFO164,BUILDING,BUILDING,411024.42N,0405224.30E,470.79,44.29,NO INFO,,NO
LTFO165,BUILDING,BUILDING,411024.97N,0405223.96E,463.16,44.29,NO INFO,,NO
LTFO166,BUILDING,BUILDING,411023.73N,0405224.90E,460.95,34.45,NO INFO,,NO
LTFO167,BUILDING,BUILDING,411022.45N,0405225.41E,460.36,24.61,NO INFO,,NO
LTFO168,BUILDING,BUILDING,411029.57N,0405223.46E,460.95,34.45,NO INFO,,NO
LTFO169,BUILDING,BUILDING,411028.50N,0405223.23E,441.18,24.61,NO INFO,,NO
LTFO170,BUILDING,BUILDING,411030.68N,0405226.58E,451.11,24.61,NO INFO,,NO
LTFO171,BUILDING,BUILDING,411030.81N,0405225.42E,451.11,24.61,NO INFO,,NO
LTFO172,BUILDING,BUILDING,411029.78N,0405225.96E,451.11,24.61,NO INFO,,NO
LTFO173,BUILDING,BUILDING,411030.02N,0405226.72E,460.95,34.45,NO INFO,,NO
LTFO174,BUILDING,BUILDING,411031.47N,0405225.91E,451.11,24.61,NO INFO,,NO
LTFO175,BUILDING,BUILDING,411031.09N,0405226.05E,451.11,24.61,NO INFO,,NO
LTFO176,BUILDING,BUILDING,411032.24N,0405224.29E,470.79,44.29,NO INFO,,NO
LTFO177,BUILDING,BUILDING,411032.82N,0405223.66E,456.01,34.45,NO INFO,,NO
LTFO178,BUILDING,BUILDING,411033.59N,0405223.43E,441.26,34.45,NO INFO,,NO
LTFO179,BUILDING,BUILDING,411032.93N,0405227.10E,447.93,34.45,NO INFO,,NO
LTFO180,BUILDING,BUILDING,411033.35N,0405228.39E,449.40,24.61,NO INFO,,NO
LTFO181,BUILDING,BUILDING,411032.23N,0405227.28E,451.11,24.61,NO INFO,,NO
LTFO182,BUILDING,BUILDING,411035.35N,0405221.78E,395.66,34.45,NO INFO,,NO
LTFO183,BUILDING,BUILDING,411036.20N,0405223.08E,399.65,34.45,NO INFO,,NO
LTFO184,BUILDING,BUILDING,411037.42N,0405226.07E,382.10,44.29,NO INFO,,NO
LTFO185,BUILDING,BUILDING,411037.47N,0405227.32E,390.20,24.61,NO INFO,,NO
LTFO186,BUILDING,BUILDING,411036.20N,0405227.76E,406.33,24.61,NO INFO,,NO
LTFO187,BUILDING,BUILDING,411037.06N,0405230.30E,467.04,24.61,NO INFO,,NO
LTFO188,BUILDING,BUILDING,411037.13N,0405231.10E,471.29,24.61,NO INFO,,NO
LTFO189,BUILDING,BUILDING,411041.25N,0405303.06E,287.13,123.03,NO INFO,,NO
LTFO190,BUILDING,BUILDING,411040.46N,0405302.38E,278.83,103.35,NO INFO,,NO
LTFO191,BUILDING,BUILDING,411039.33N,0405302.86E,283.64,103.35,NO INFO,,NO
LTFO192,BUILDING,BUILDING,411038.10N,0405301.02E,234.18,24.61,NO INFO,,NO
LTFO193,BUILDING,BUILDING,411038.61N,0405259.22E,228.32,24.61,NO INFO,,NO
LTFO194,BUILDING,BUILDING,411037.59N,0405258.89E,231.06,24.61,NO INFO,,NO
LTFO195,BUILDING,BUILDING,411037.31N,0405259.01E,230.30,24.61,NO INFO,,NO
LTFO196,BUILDING,BUILDING,411038.06N,0405259.39E,266.10,54.13,NO INFO,,NO
LTFO197,BUILDING,BUILDING,411037.68N,0405303.05E,259.48,63.98,NO INFO,,NO
LTFO198,BUILDING,BUILDING,411037.23N,0405303.74E,282.53,73.82,NO INFO,,NO
LTFO199,BUILDING,BUILDING,411037.70N,0405304.10E,240.01,44.29,NO INFO,,NO
LTFO200,BUILDING,BUILDING,411036.39N,0405300.97E,283.79,54.13,NO INFO,,NO
LTFO201,BUILDING,BUILDING,411036.78N,0405259.08E,230.70,24.61,NO INFO,,NO
LTFO202,BUILDING,BUILDING,411034.00N,0405304.52E,270.67,24.61,NO INFO,,NO
LTFO203,BUILDING,BUILDING,411034.38N,0405302.90E,263.69,24.61,NO INFO,,NO
LTFO204,BUILDING,BUILDING,411043.16N,0405308.17E,202.47,83.66,NO INFO,,NO
LTFO205,BUILDING,BUILDING,411043.70N,0405307.39E,191.66,83.66,NO INFO,,NO
LTFO206,BUILDING,BUILDING,411043.48N,0405306.70E,189.12,73.82,NO INFO,,NO
LTFO207,BUILDING,BUILDING,411043.18N,0405306.20E,205.22,83.66,NO INFO,,NO
LTFO208,BUILDING,BUILDING,411042.18N,0405307.07E,259.44,132.87,NO INFO,,NO
LTFO209,BUILDING,BUILDING,411042.55N,0405305.49E,265.28,132.87,NO INFO,,NO
LTFO210,BUILDING,BUILDING,411041.49N,0405306.11E,270.27,132.87,NO INFO,,NO
LTFO211,BUILDING,BUILDING,411041.23N,0405304.73E,200.92,54.13,NO INFO,,NO
LTFO212,BUILDING,BUILDING,411040.75N,0405305.38E,231.29,83.66,NO INFO,,NO
LTFO213,BUILDING,BUILDING,411040.28N,0405306.12E,222.92,73.82,NO INFO,,NO
LTFO214,BUILDING,BUILDING,411039.45N,0405305.68E,182.17,24.61,NO INFO,,NO
LTFO215,BUILDING,BUILDING,411039.76N,0405305.74E,179.79,24.61,NO INFO,,NO
LTFO216,BUILDING,BUILDING,411039.33N,0405303.97E,225.53,54.13,NO INFO,,NO
LTFO217,BUILDING,BUILDING,411039.28N,0405304.84E,218.38,54.13,NO INFO,,NO
LTFO218,BUILDING,BUILDING,411039.65N,0405303.60E,226.70,54.13,NO INFO,,NO
LTFO219,BUILDING,BUILDING,411040.01N,0405303.19E,226.08,54.13,NO INFO,,NO
LTFO220,BUILDING,BUILDING,411040.39N,0405303.81E,238.58,73.82,NO INFO,,NO
LTFO221,BUILDING,BUILDING,411040.67N,0405304.31E,201.18,44.29,NO INFO,,NO
LTFO222,BUILDING,BUILDING,411039.99N,0405304.55E,204.88,44.29,NO INFO,,NO
LTFO223,BUILDING,BUILDING,411039.95N,0405304.26E,197.23,34.45,NO INFO,,NO
LTFO224,BUILDING,BUILDING,411041.08N,0405301.73E,259.70,83.66,NO INFO,,NO
LTFO225,BUILDING,BUILDING,411041.84N,0405300.88E,265.63,83.66,NO INFO,,NO
LTFO226,BUILDING,BUILDING,411041.82N,0405259.28E,300.19,103.35,NO INFO,,NO
LTFO227,BUILDING,BUILDING,411039.91N,0405259.13E,231.30,34.45,NO INFO,,NO
LTFO228,BUILDING,BUILDING,411039.66N,0405301.36E,274.11,83.66,NO INFO,,NO
LTFO229,BUILDING,BUILDING,411039.62N,0405300.53E,270.67,73.82,NO INFO,,NO
LTFO230,BUILDING,BUILDING,411039.28N,0405300.89E,270.00,73.82,NO INFO,,NO
LTFO231,BUILDING,BUILDING,411040.07N,0405300.00E,270.67,73.82,NO INFO,,NO
LTFO232,BUILDING,BUILDING,411040.79N,0405300.92E,260.17,73.82,NO INFO,,NO
LTFO233,BUILDING,BUILDING,411040.57N,0405300.33E,270.67,73.82,NO INFO,,NO
LTFO234,BUILDING,BUILDING,411041.37N,0405300.27E,278.75,83.66,NO INFO,,NO
LTFO235,BUILDING,BUILDING,411041.10N,0405259.76E,260.82,63.98,NO INFO,,NO
LTFO236,BUILDING,BUILDING,411040.19N,0405301.55E,268.71,83.66,NO INFO,,NO
LTFO237,BUILDING,BUILDING,411039.95N,0405301.84E,268.12,83.66,NO INFO,,NO
LTFO238,BUILDING,BUILDING,411041.84N,0405303.83E,215.64,63.98,NO INFO,,NO
LTFO239,BUILDING,BUILDING,411044.32N,0405305.96E,194.78,83.66,NO INFO,,NO
LTFO240,BUILDING,BUILDING,411045.00N,0405302.72E,194.28,54.13,NO INFO,,NO
LTFO241,BUILDING,BUILDING,411044.49N,0405303.07E,194.50,54.13,NO INFO,,NO
LTFO242,BUILDING,BUILDING,411045.85N,0405302.75E,168.69,44.29,NO INFO,,NO
LTFO243,BUILDING,BUILDING,411045.68N,0405302.33E,194.78,63.98,NO INFO,,NO
LTFO244,BUILDING,BUILDING,411046.23N,0405303.78E,168.87,63.98,NO INFO,,NO
LTFO245,BUILDING,BUILDING,411047.34N,0405304.14E,181.66,103.35,NO INFO,,NO
LTFO246,BUILDING,BUILDING,411047.97N,0405305.70E,186.30,113.19,NO INFO,,NO
