Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFG289,BUILDING,BUILDING,361625.472N,0321807.603E,240.97,24.61,NO INFO,,NO,
LTFG290,BUILDING,BUILDING,361616.924N,0321807.935E,238.95,34.45,NO INFO,,NO,
LTFG291,BUILDING,BUILDING,361619.047N,0321819.209E,248.79,34.45,NO INFO,,NO,
LTFG292,BUILDING,BUILDING,361626.098N,0321806.659E,248.46,44.29,NO INFO,,NO,
LTFG293,BUILDING,BUILDING,361625.206N,0321803.829E,266.30,44.29,NO INFO,,NO,
LTFG294,GREENHOUSE,BUILDING,361715.553N,0321919.758E,245.78,14.76,NO INFO,,NO,
LTFG295,BUILDING,BUILDING,361701.732N,0321923.472E,244.43,14.76,NO INFO,,NO,
LTFG296,GREENHOUSE,BUILDING,361647.528N,0322025.640E,239.54,14.76,NO INFO,,NO,
LTFG297,GREENHOUSE,BUILDING,361646.506N,0322029.657E,247.35,14.76,NO INFO,,NO,
LTFG298,GREENHOUSE,BUILDING,361647.292N,0322020.281E,246.20,14.76,NO INFO,,NO,
LTFG299,BUILDING,BUILDING,361620.815N,0322120.543E,415.92,14.76,NO INFO,,NO,
LTFG300,BUILDING,BUILDING,361642.382N,0322034.321E,244.37,54.14,NO INFO,,NO,
LTFG301,BUILDING,BUILDING,361645.206N,0322035.285E,249.43,14.76,NO INFO,,NO,
LTFG302,BUILDING,BUILDING,361644.185N,0322036.448E,246.90,24.61,NO INFO,,NO,
LTFG303,BUILDING,BUILDING,361646.481N,0322028.307E,237.93,14.76,NO INFO,,NO,
LTFG304,BUILDING,BUILDING,361648.384N,0322016.826E,245.39,14.76,NO INFO,,NO,
LTFG305,BUILDING,BUILDING,361657.907N,0321939.873E,263.16,34.45,NO INFO,,NO,
LTFG306,BUILDING,BUILDING,361702.825N,0321933.741E,241.13,24.61,NO INFO,,NO,
LTFG307,BUILDING,BUILDING,361703.052N,0321932.833E,254.00,34.45,NO INFO,,NO,
