Obstacle Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Colour of Lighting,Group,,,,
LTCI_257,TREE,TREE,382844.00N,0432042.74E,5502,24,NO INFO,,NO,,,,
LTCI_258,TREE,TREE,382844.37N,0432042.98E,5506,29,NO INFO,,NO,,,,
LTCI_259,TREE,TREE,382844.47N,0432042.90E,5506,28,NO INFO,,NO,,,,
LTCI_260,TREE,TREE,382844.53N,0432042.94E,5505,27,NO INFO,,NO,,,,
LTCI_261,TREE,TREE,382844.59N,0432043.07E,5502,25,NO INFO,,NO,,,,
LTCI_262,TREE,TREE,382844.65N,0432043.08E,5501,24,NO INFO,,NO,,,,
LTCI_263,TREE,TREE,382844.26N,0432043.03E,5505,27,NO INFO,,NO,,,,
LTCI_264,TREE,TREE,382844.67N,0432042.94E,5499,21,NO INFO,,NO,,,,
LTCI_265,TREE,TREE,382844.75N,0432042.86E,5495,18,NO INFO,,NO,,,,
LTCI_266,TREE,TREE,382844.89N,0432042.93E,5499,22,NO INFO,,NO,,,,
LTCI_267,TREE,TREE,382845.04N,0432043.02E,5501,25,NO INFO,,NO,,,,
LTCI_268,TREE,TREE,382845.09N,0432042.92E,5508,31,NO INFO,,NO,,,,
LTCI_269,TREE,TREE,382845.20N,0432042.88E,5511,34,NO INFO,,NO,,,,
LTCI_270,TREE,TREE,382845.27N,0432042.80E,5512,35,NO INFO,,NO,,,,
LTCI_271,TREE,TREE,382845.33N,0432042.86E,5507,31,NO INFO,,NO,,,,
LTCI_272,TREE,TREE,382845.50N,0432042.78E,5504,27,NO INFO,,NO,,,,
LTCI_273,TREE,TREE,382845.74N,0432042.54E,5492,16,NO INFO,,NO,,,,
LTCI_274,TREE,TREE,382845.75N,0432042.75E,5493,17,NO INFO,,NO,,,,
LTCI_275,TREE,TREE,382846.04N,0432042.82E,5497,20,NO INFO,,NO,,,,
LTCI_276,TREE,TREE,382846.18N,0432042.65E,5502,26,NO INFO,,NO,,,,
LTCI_277,TREE,TREE,382846.24N,0432042.60E,5502,26,NO INFO,,NO,,,,
LTCI_278,TREE,TREE,382846.33N,0432042.68E,5504,28,NO INFO,,NO,,,,
LTCI_279,TREE,TREE,382846.35N,0432042.74E,5503,27,NO INFO,,NO,,,,
LTCI_280,TREE,TREE,382846.41N,0432042.60E,5493,18,NO INFO,,NO,,,,
LTCI_281,TREE,TREE,382846.46N,0432042.51E,5498,22,NO INFO,,NO,,,,
LTCI_282,TREE,TREE,382846.56N,0432042.67E,5508,32,NO INFO,,NO,,,,
LTCI_283,TREE,TREE,382846.61N,0432042.70E,5504,28,NO INFO,,NO,,,,
LTCI_284,TREE,TREE,382846.62N,0432042.54E,5498,23,NO INFO,,NO,,,,
LTCI_285,TREE,TREE,382846.78N,0432042.54E,5498,23,NO INFO,,NO,,,,
LTCI_286,TREE,TREE,382846.84N,0432042.88E,5493,17,NO INFO,,NO,,,,
LTCI_287,TREE,TREE,382846.99N,0432042.58E,5504,29,NO INFO,,NO,,,,
LTCI_288,TREE,TREE,382847.06N,0432042.52E,5499,24,NO INFO,,NO,,,,
LTCI_289,TREE,TREE,382847.18N,0432042.61E,5496,21,NO INFO,,NO,,,,
LTCI_290,TREE,TREE,382847.21N,0432042.56E,5496,21,NO INFO,,NO,,,,
LTCI_291,TREE,TREE,382847.27N,0432042.52E,5501,26,NO INFO,,NO,,,,
LTCI_292,TREE,TREE,382847.24N,0432042.39E,5496,21,NO INFO,,NO,,,,
LTCI_293,TREE,TREE,382847.42N,0432042.46E,5504,29,NO INFO,,NO,,,,
LTCI_294,TREE,TREE,382847.59N,0432042.45E,5506,31,NO INFO,,NO,,,,
LTCI_295,TREE,TREE,382847.56N,0432042.57E,5498,24,NO INFO,,NO,,,,
LTCI_296,TREE,TREE,382847.60N,0432042.77E,5500,25,NO INFO,,NO,,,,
LTCI_297,TREE,TREE,382847.68N,0432042.57E,5503,28,NO INFO,,NO,,,,
LTCI_298,TREE,TREE,382847.77N,0432042.52E,5505,31,NO INFO,,NO,,,,
LTCI_299,TREE,TREE,382847.72N,0432042.41E,5502,27,NO INFO,,NO,,,,
LTCI_300,TREE,TREE,382847.92N,0432042.52E,5511,36,NO INFO,,NO,,,,
LTCI_301,TREE,TREE,382848.00N,0432042.46E,5513,38,NO INFO,,NO,,,,
LTCI_302,TREE,TREE,382848.05N,0432042.42E,5511,37,NO INFO,,NO,,,,
LTCI_303,TREE,TREE,382848.10N,0432042.40E,5511,37,NO INFO,,NO,,,,
LTCI_304,TREE,TREE,382848.12N,0432042.57E,5510,36,NO INFO,,NO,,,,
LTCI_305,TREE,TREE,382848.06N,0432042.62E,5503,29,NO INFO,,NO,,,,
LTCI_306,TREE,TREE,382847.88N,0432042.61E,5501,27,NO INFO,,NO,,,,
LTCI_307,TREE,TREE,382847.92N,0432042.74E,5493,19,NO INFO,,NO,,,,
LTCI_308,TREE,TREE,382848.18N,0432042.56E,5510,36,NO INFO,,NO,,,,
LTCI_309,TREE,TREE,382848.26N,0432042.47E,5511,36,NO INFO,,NO,,,,
LTCI_310,TREE,TREE,382848.34N,0432042.43E,5515,41,NO INFO,,NO,,,,
LTCI_311,TREE,TREE,382848.38N,0432042.39E,5514,40,NO INFO,,NO,,,,
LTCI_312,TREE,TREE,382848.24N,0432042.27E,5496,22,NO INFO,,NO,,,,
LTCI_313,TREE,TREE,382848.40N,0432042.69E,5509,35,NO INFO,,NO,,,,
LTCI_314,TREE,TREE,382848.71N,0432042.54E,5517,43,NO INFO,,NO,,,,
LTCI_315,TREE,TREE,382848.77N,0432042.37E,5519,45,NO INFO,,NO,,,,
LTCI_316,TREE,TREE,382848.74N,0432042.32E,5521,46,NO INFO,,NO,,,,
LTCI_317,TREE,TREE,382848.88N,0432042.49E,5519,45,NO INFO,,NO,,,,
LTCI_318,TREE,TREE,382848.97N,0432042.43E,5518,44,NO INFO,,NO,,,,
LTCI_319,TREE,TREE,382849.04N,0432042.35E,5516,42,NO INFO,,NO,,,,
LTCI_320,TREE,TREE,382849.13N,0432042.45E,5511,38,NO INFO,,NO,,,,
LTCI_321,TREE,TREE,382849.23N,0432042.34E,5511,37,NO INFO,,NO,,,,
LTCI_322,TREE,TREE,382849.29N,0432042.32E,5513,40,NO INFO,,NO,,,,
LTCI_323,TREE,TREE,382849.43N,0432042.29E,5512,39,NO INFO,,NO,,,,
LTCI_324,TREE,TREE,382849.56N,0432042.18E,5514,41,NO INFO,,NO,,,,
LTCI_325,TREE,TREE,382849.63N,0432042.41E,5512,39,NO INFO,,NO,,,,
LTCI_326,TREE,TREE,382849.54N,0432042.33E,5514,41,NO INFO,,NO,,,,
LTCI_327,TREE,TREE,382849.77N,0432042.30E,5505,32,NO INFO,,NO,,,,
LTCI_328,TREE,TREE,382849.86N,0432042.37E,5504,30,NO INFO,,NO,,,,
LTCI_329,TREE,TREE,382849.90N,0432042.25E,5501,27,NO INFO,,NO,,,,
LTCI_330,TREE,TREE,382850.02N,0432042.13E,5505,32,NO INFO,,NO,,,,
LTCI_331,TREE,TREE,382850.10N,0432042.17E,5510,37,NO INFO,,NO,,,,
LTCI_332,TREE,TREE,382850.15N,0432042.10E,5510,37,NO INFO,,NO,,,,
LTCI_333,TREE,TREE,382850.36N,0432042.06E,5510,37,NO INFO,,NO,,,,
LTCI_334,TREE,TREE,382850.45N,0432042.06E,5509,36,NO INFO,,NO,,,,
LTCI_335,TREE,TREE,382850.39N,0432042.38E,5498,25,NO INFO,,NO,,,,
LTCI_336,TREE,TREE,382849.72N,0432041.36E,5499,26,NO INFO,,NO,,,,
LTCI_337,TREE,TREE,382849.76N,0432041.47E,5500,28,NO INFO,,NO,,,,
LTCI_338,TREE,TREE,382849.53N,0432041.68E,5496,23,NO INFO,,NO,,,,
LTCI_339,TREE,TREE,382850.71N,0432042.03E,5502,29,NO INFO,,NO,,,,
LTCI_340,TREE,TREE,382850.71N,0432042.36E,5499,26,NO INFO,,NO,,,,
LTCI_341,TREE,TREE,382850.91N,0432042.36E,5520,47,NO INFO,,NO,,,,
LTCI_342,TREE,TREE,382850.91N,0432042.51E,5521,48,NO INFO,,NO,,,,
LTCI_343,TREE,TREE,382850.84N,0432042.56E,5520,47,NO INFO,,NO,,,,
LTCI_344,TREE,TREE,382850.90N,0432043.00E,5522,49,NO INFO,,NO,,,,
LTCI_345,TREE,TREE,382850.91N,0432042.88E,5525,52,NO INFO,,NO,,,,
LTCI_346,TREE,TREE,382850.91N,0432043.16E,5515,41,NO INFO,,NO,,,,
LTCI_347,TREE,TREE,382850.87N,0432043.40E,5515,42,NO INFO,,NO,,,,
LTCI_348,TREE,TREE,382850.94N,0432043.47E,5521,47,NO INFO,,NO,,,,
LTCI_349,TREE,TREE,382850.89N,0432043.71E,5513,39,NO INFO,,NO,,,,
LTCI_350,TREE,TREE,382850.98N,0432043.85E,5516,43,NO INFO,,NO,,,,
LTCI_351,TREE,TREE,382850.78N,0432043.07E,5508,34,NO INFO,,NO,,,,
LTCI_352,TREE,TREE,382850.86N,0432042.76E,5521,48,NO INFO,,NO,,,,
