Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,
LTFH_335,TREE,TREE,411430.47N,0363515.33E,80,,NO,,NO,
LTFH_336,TREE,TREE,411430.43N,0363515.92E,81,,NO,,NO,
LTFH_337,TREE,TREE,411430.50N,0363516.29E,80,,NO,,NO,
LTFH_338,TREE,TREE,411430.33N,0363516.19E,80,,NO,,NO,
LTFH_339,TREE,TREE,411430.16N,0363517.50E,75,,NO,,NO,
LTFH_340,TREE,TREE,411430.35N,0363516.79E,79,,NO,,NO,
LTFH_341,TREE,TREE,411429.97N,0363518.34E,80,,NO,,NO,
LTFH_342,TREE,TREE,411429.78N,0363518.33E,80,,NO,,NO,
LTFH_343,TREE,TREE,411429.55N,0363518.42E,81,,NO,,NO,
LTFH_344,TREE,TREE,411429.80N,0363518.69E,80,,NO,,NO,
LTFH_345,TREE,TREE,411430.06N,0363518.61E,80,,NO,,NO,
LTFH_346,TREE,TREE,411430.12N,0363518.89E,76,,NO,,NO,
LTFH_347,TREE,TREE,411429.99N,0363519.01E,76,,NO,,NO,
LTFH_348,TREE,TREE,411429.36N,0363520.04E,76,,NO,,NO,
LTFH_349,TREE,TREE,411429.60N,0363519.93E,74,,NO,,NO,
LTFH_350,TREE,TREE,411429.79N,0363519.77E,74,,NO,,NO,
LTFH_351,TREE,TREE,411429.59N,0363519.72E,74,,NO,,NO,
LTFH_352,TREE,TREE,411430.06N,0363519.70E,74,,NO,,NO,
LTFH_353,TREE,TREE,411430.12N,0363520.09E,73,,NO,,NO,
LTFH_354,TREE,TREE,411429.84N,0363520.20E,72,,NO,,NO,
LTFH_355,TREE,TREE,411430.36N,0363518.78E,74,,NO,,NO,
LTFH_356,TREE,TREE,411430.14N,0363518.77E,75,,NO,,NO,
LTFH_357,TREE,TREE,411430.29N,0363518.29E,77,,NO,,NO,
LTFH_358,TREE,TREE,411430.39N,0363518.05E,76,,NO,,NO,
LTFH_359,TREE,TREE,411430.43N,0363517.70E,78,,NO,,NO,
LTFH_360,TREE,TREE,411430.57N,0363517.44E,77,,NO,,NO,
LTFH_361,TREE,TREE,411430.53N,0363517.22E,76,,NO,,NO,
LTFH_362,TREE,TREE,411430.61N,0363516.99E,76,,NO,,NO,
LTFH_363,TREE,TREE,411430.75N,0363516.70E,76,,NO,,NO,
LTFH_364,TREE,TREE,411430.85N,0363516.45E,73,,NO,,NO,
LTFH_365,TREE,TREE,411431.05N,0363516.49E,74,,NO,,NO,
LTFH_366,TREE,TREE,411430.93N,0363516.18E,70,,NO,,NO,
LTFH_367,TREE,TREE,411430.71N,0363516.05E,73,,NO,,NO,
LTFH_368,TREE,TREE,411430.92N,0363516.90E,75,,NO,,NO,
LTFH_369,TREE,TREE,411431.04N,0363517.01E,75,,NO,,NO,
LTFH_370,TREE,TREE,411431.14N,0363517.19E,74,,NO,,NO,
LTFH_371,TREE,TREE,411431.32N,0363517.36E,74,,NO,,NO,
LTFH_372,TREE,TREE,411431.42N,0363517.43E,75,,NO,,NO,
LTFH_373,TREE,TREE,411431.34N,0363517.61E,75,,NO,,NO,
LTFH_374,TREE,TREE,411431.45N,0363517.71E,74,,NO,,NO,
LTFH_375,TREE,TREE,411431.58N,0363517.55E,74,,NO,,NO,
LTFH_376,TREE,TREE,411431.56N,0363516.85E,74,,NO,,NO,
LTFH_377,TREE,TREE,411431.70N,0363516.98E,70,,NO,,NO,
LTFH_378,TREE,TREE,411431.85N,0363517.14E,70,,NO,,NO,
LTFH_379,TREE,TREE,411432.16N,0363516.68E,74,,NO,,NO,
LTFH_380,TREE,TREE,411432.06N,0363517.45E,68,,NO,,NO,
LTFH_381,TREE,TREE,411431.66N,0363517.98E,72,,NO,,NO,
LTFH_382,TREE,TREE,411431.71N,0363517.72E,72,,NO,,NO,
LTFH_383,TREE,TREE,411431.96N,0363518.02E,70,,NO,,NO,
LTFH_384,TREE,TREE,411431.42N,0363518.16E,73,,NO,,NO,
LTFH_385,TREE,TREE,411431.03N,0363518.16E,76,,NO,,NO,
LTFH_386,TREE,TREE,411430.98N,0363517.85E,76,,NO,,NO,
LTFH_387,TREE,TREE,411430.80N,0363517.69E,78,,NO,,NO,
LTFH_388,TREE,TREE,411430.78N,0363518.43E,76,,NO,,NO,
LTFH_389,TREE,TREE,411430.87N,0363518.83E,73,,NO,,NO,
LTFH_390,TREE,TREE,411431.30N,0363518.43E,73,,NO,,NO,
LTFH_391,TREE,TREE,411430.56N,0363518.12E,77,,NO,,NO,
LTFH_392,TREE,TREE,411430.57N,0363517.84E,77,,NO,,NO,
LTFH_393,TREE,TREE,411429.99N,0363520.07E,75,,NO,,NO,
LTFH_394,TREE,TREE,411430.38N,0363519.11E,74,,NO,,NO,
LTFH_395,TREE,TREE,411429.42N,0363520.27E,75,,NO,,NO,
LTFH_396,TREE,TREE,411428.99N,0363520.33E,75,,NO,,NO,
LTFH_397,TREE,TREE,411429.08N,0363520.94E,73,,NO,,NO,
LTFH_398,TREE,TREE,411429.39N,0363520.73E,73,,NO,,NO,
LTFH_399,TREE,TREE,411428.87N,0363520.14E,76,,NO,,NO,
LTFH_400,TREE,TREE,411429.00N,0363518.97E,79,,NO,,NO,
LTFH_401,TREE,TREE,411429.11N,0363519.20E,77,,NO,,NO,
LTFH_402,TREE,TREE,411429.09N,0363518.64E,80,,NO,,NO,
LTFH_403,TREE,TREE,411429.13N,0363518.46E,80,,NO,,NO,
LTFH_404,TREE,TREE,411428.84N,0363518.27E,80,,NO,,NO,
LTFH_405,TREE,TREE,411428.89N,0363518.06E,79,,NO,,NO,
LTFH_406,TREE,TREE,411428.56N,0363518.30E,74,,NO,,NO,
LTFH_407,TREE,TREE,411428.24N,0363518.30E,74,,NO,,NO,
LTFH_408,TREE,TREE,411427.81N,0363517.94E,75,,NO,,NO,
LTFH_409,TREE,TREE,411428.01N,0363517.61E,76,,NO,,NO,
LTFH_410,TREE,TREE,411428.45N,0363517.43E,77,,NO,,NO,
LTFH_411,TREE,TREE,411428.07N,0363517.02E,78,,NO,,NO,
LTFH_412,TREE,TREE,411426.62N,0363518.07E,77,,NO,,NO,
LTFH_413,TREE,TREE,411426.85N,0363517.57E,74,,NO,,NO,
LTFH_414,TREE,TREE,411427.16N,0363517.00E,73,,NO,,NO,
LTFH_415,TREE,TREE,411427.15N,0363516.45E,72,,NO,,NO,
LTFH_416,TREE,TREE,411426.01N,0363518.65E,77,,NO,,NO,
LTFH_417,TREE,TREE,411425.63N,0363520.13E,77,,NO,,NO,
LTFH_418,TREE,TREE,411424.70N,0363520.61E,94,,NO,,NO,
LTFH_419,TREE,TREE,411424.42N,0363520.68E,97,,NO,,NO,
LTFH_420,TREE,TREE,411424.25N,0363520.70E,93,,NO,,NO,
LTFH_421,TREE,TREE,411424.28N,0363521.05E,96,,NO,,NO,
LTFH_422,TREE,TREE,411424.22N,0363521.43E,99,,NO,,NO,
LTFH_423,TREE,TREE,411424.06N,0363520.91E,92,,NO,,NO,
LTFH_424,TREE,TREE,411423.90N,0363521.90E,85,,NO,,NO,
LTFH_425,TREE,TREE,411424.09N,0363522.21E,98,,NO,,NO,
LTFH_426,TREE,TREE,411423.92N,0363522.38E,97,,NO,,NO,
LTFH_427,TREE,TREE,411423.97N,0363522.84E,94,,NO,,NO,
LTFH_428,TREE,TREE,411424.22N,0363522.77E,97,,NO,,NO,
LTFH_429,TREE,TREE,411424.37N,0363522.47E,95,,NO,,NO,
LTFH_430,TREE,TREE,411424.39N,0363522.17E,95,,NO,,NO,
LTFH_431,TREE,TREE,411424.49N,0363521.79E,95,,NO,,NO,
LTFH_432,TREE,TREE,411424.59N,0363521.60E,96,,NO,,NO,
LTFH_433,TREE,TREE,411424.52N,0363521.26E,95,,NO,,NO,
LTFH_434,TREE,TREE,411424.59N,0363520.97E,95,,NO,,NO,
LTFH_435,TREE,TREE,411424.81N,0363520.90E,93,,NO,,NO,
LTFH_436,TREE,TREE,411425.12N,0363521.24E,85,,NO,,NO,
LTFH_437,TREE,TREE,411424.91N,0363521.79E,87,,NO,,NO,
LTFH_438,TREE,TREE,411425.10N,0363521.87E,86,,NO,,NO,
LTFH_439,TREE,TREE,411425.45N,0363522.20E,81,,NO,,NO,
LTFH_440,TREE,TREE,411425.37N,0363521.59E,81,,NO,,NO,
LTFH_441,TREE,TREE,411424.93N,0363522.56E,85,,NO,,NO,
LTFH_442,TREE,TREE,411424.63N,0363522.64E,86,,NO,,NO,
