Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTAZ_190,LOW VOLTAGE MAST,POLE,384808.289N,0343543.740E,3715.31,82.02,NO INFO,,NO
LTAZ_191,LOW VOLTAGE MAST,POLE,384808.225N,0343544.140E,3725.02,82.02,NO INFO,,NO
LTAZ_192,LOW VOLTAGE MAST,POLE,384804.788N,0343544.503E,3689.29,82.02,NO INFO,,NO
LTAZ_193,LOW VOLTAGE MAST,POLE,384804.360N,0343544.939E,3684.80,82.02,NO INFO,,NO
LTAZ_194,MEDIUM VOLTAGE MAST,POLE,384853.410N,0343122.557E,3280.66,65.62,NO INFO,,NO
LTAZ_195,BUILDING,BUILDING,384541.907N,0343056.925E,3251.82,24.61,NO INFO,,NO
LTAZ_196,BUILDING,BUILDING,384542.188N,0343056.653E,3237.69,14.76,NO INFO,,NO
LTAZ_197,BUILDING,BUILDING,384542.062N,0343058.014E,3240.47,14.76,NO INFO,,NO
LTAZ_198,BUILDING,BUILDING,384542.090N,0343058.517E,3240.41,14.76,NO INFO,,NO
LTAZ_199,BUILDING,BUILDING,384538.593N,0343055.711E,3243.10,24.61,NO INFO,,NO
LTAZ_200,BUILDING,BUILDING,384539.208N,0343055.696E,3246.09,24.61,NO INFO,,NO
LTAZ_201,BUILDING,BUILDING,384539.721N,0343055.700E,3238.89,14.76,NO INFO,,NO
LTAZ_202,BUILDING,BUILDING,384540.651N,0343055.711E,3249.55,24.61,NO INFO,,NO
LTAZ_203,BUILDING,BUILDING,384540.562N,0343055.925E,3241.29,14.76,NO INFO,,NO
LTAZ_204,BUILDING,BUILDING,384541.450N,0343055.653E,3249.34,24.61,NO INFO,,NO
LTAZ_205,BUILDING,BUILDING,384541.036N,0343054.918E,3233.87,14.76,NO INFO,,NO
LTAZ_206,BUILDING,BUILDING,384540.753N,0343054.079E,3235.51,24.61,NO INFO,,NO
LTAZ_207,BUILDING,BUILDING,384541.532N,0343055.381E,3237.51,14.76,NO INFO,,NO
LTAZ_208,BUILDING,BUILDING,384534.871N,0343057.421E,3232.71,14.76,NO INFO,,NO
LTAZ_209,BUILDING,BUILDING,384534.822N,0343057.957E,3237.71,14.76,NO INFO,,NO
LTAZ_210,BUILDING,BUILDING,384534.308N,0343056.803E,3242.35,24.61,NO INFO,,NO
LTAZ_211,BUILDING,BUILDING,384533.566N,0343056.769E,3241.86,24.61,NO INFO,,NO
LTAZ_212,BUILDING,BUILDING,384532.873N,0343056.746E,3241.43,24.61,NO INFO,,NO
LTAZ_213,BUILDING,BUILDING,384532.048N,0343056.729E,3241.45,24.61,NO INFO,,NO
LTAZ_214,BUILDING,BUILDING,384531.531N,0343057.272E,3249.07,24.61,NO INFO,,NO
LTAZ_215,BUILDING,BUILDING,384534.277N,0343055.632E,3232.14,24.61,NO INFO,,NO
LTAZ_216,BUILDING,BUILDING,384533.526N,0343055.581E,3237.28,24.61,NO INFO,,NO
LTAZ_217,BUILDING,BUILDING,384532.968N,0343055.501E,3238.09,24.61,NO INFO,,NO
LTAZ_218,BUILDING,BUILDING,384531.965N,0343055.188E,3238.80,24.61,NO INFO,,NO
LTAZ_219,BUILDING,BUILDING,384531.515N,0343057.124E,3237.40,14.76,NO INFO,,NO
LTAZ_220,BUILDING,BUILDING,384531.490N,0343054.444E,3233.18,24.61,NO INFO,,NO
LTAZ_221,BUILDING,BUILDING,384601.494N,0343109.595E,3234.15,24.61,NO INFO,,NO
LTAZ_222,BUILDING,BUILDING,384602.221N,0343111.718E,3235.30,24.61,NO INFO,,NO
LTAZ_223,BUILDING,BUILDING,384602.467N,0343112.373E,3238.20,24.61,NO INFO,,NO
LTAZ_224,BUILDING,BUILDING,384602.758N,0343113.049E,3242.13,24.61,NO INFO,,NO
LTAZ_225,BUILDING,BUILDING,384602.968N,0343113.718E,3239.99,24.61,NO INFO,,NO
LTAZ_226,BUILDING,BUILDING,384601.102N,0343111.809E,3242.12,24.61,NO INFO,,NO
LTAZ_227,BUILDING,BUILDING,384601.326N,0343112.614E,3249.53,24.61,NO INFO,,NO
LTAZ_228,BUILDING,BUILDING,384601.554N,0343113.226E,3253.50,24.61,NO INFO,,NO
LTAZ_229,MOSQUE,BUILDING,384535.133N,0343041.536E,3234.87,52.49,NO INFO,,NO
LTAZ_230,MINARET,BUILDING,384535.487N,0343041.762E,3270.96,88.58,NO INFO,,NO
LTAZ_231,MINARET,BUILDING,384535.358N,0343041.140E,3270.96,88.58,NO INFO,,NO
LTAZ_232,BUILDING,BUILDING,384520.759N,0343058.048E,3242.24,24.61,NO INFO,,NO
