Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTCN242,BUILDING,BUILDING,373434.97N,0365734.55E,1855.50,24.61,NO INFO,,NO
LTCN243,BUILDING,BUILDING,373435.76N,0365735.46E,1858.39,24.61,NO INFO,,NO
LTCN244,BUILDING,BUILDING,373436.01N,0365732.52E,1858.75,24.61,NO INFO,,NO
LTCN245,BUILDING,BUILDING,373451.18N,0365651.15E,2042.79,24.61,NO INFO,,NO
LTCN246,BUILDING,BUILDING,373437.27N,0365729.28E,1853.10,14.76,NO INFO,,NO
LTCN247,BUILDING,BUILDING,373437.90N,0365729.21E,1856.27,14.76,NO INFO,,NO
LTCN248,BUILDING,BUILDING,373526.04N,0365631.09E,2269.47,14.76,NO INFO,,NO
LTCN249,BUILDING,BUILDING,373449.95N,0365635.70E,2029.33,24.61,NO INFO,,NO
LTCN250,BUILDING,BUILDING,373442.74N,0365611.60E,1927.47,24.61,NO INFO,,NO
LTCN251,BUILDING,BUILDING,373422.52N,0365619.05E,1853.56,24.61,NO INFO,,NO
LTCN252,BUILDING,BUILDING,373421.13N,0365619.74E,1848.42,24.61,NO INFO,,NO
LTCN253,BUILDING,BUILDING,373443.76N,0365618.42E,1947.78,14.76,NO INFO,,NO
LTCN254,BUILDING,BUILDING,373447.67N,0365619.58E,1954.80,14.76,NO INFO,,NO
LTCN255,BUILDING,BUILDING,373449.95N,0365624.49E,1993.09,24.61,NO INFO,,NO
LTCN256,BUILDING,BUILDING,373450.00N,0365623.86E,1993.09,24.61,NO INFO,,NO
LTCN257,BUILDING,BUILDING,373449.34N,0365626.91E,1991.50,14.76,NO INFO,,NO
LTCN258,BUILDING,BUILDING,373429.99N,0365627.97E,2002.08,113.19,NO INFO,,NO
LTCN259,BUILDING,BUILDING,373424.33N,0365629.31E,1880.55,14.76,NO INFO,,NO
LTCN260,BUILDING,BUILDING,373424.34N,0365629.78E,1881.20,14.76,NO INFO,,NO
LTCN261,BUILDING,BUILDING,373420.98N,0365622.68E,1845.61,14.76,NO INFO,,NO
LTCN262,BUILDING,BUILDING,373418.59N,0365623.07E,1833.17,14.76,NO INFO,,NO
LTCN263,BUILDING,BUILDING,373418.41N,0365637.65E,1856.18,14.76,NO INFO,,NO
LTCN264,BUILDING,BUILDING,373427.25N,0365631.32E,1897.41,14.76,NO INFO,,NO
LTCN265,BUILDING,BUILDING,373444.27N,0365631.41E,1991.21,24.61,NO INFO,,NO
LTCN266,BUILDING,BUILDING,373445.90N,0365632.48E,2004.20,24.61,NO INFO,,NO
LTCN267,BUILDING,BUILDING,373444.21N,0365636.17E,1990.47,14.76,NO INFO,,NO
