Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,
LTCA_151,BUILDING,BUILDING,383802.78N,0391457.16E,3154,25,NO INFO,,NO,,,,,,,,
LTCA_152,BUILDING,BUILDING,383803.00N,0391456.96E,3165,34,NO INFO,,NO,,,,,,,,
LTCA_153,BUILDING,BUILDING,383803.59N,0391458.35E,3154,34,NO INFO,,NO,,,,,,,,
LTCA_154,BUILDING,BUILDING,383801.98N,0391458.78E,3150,34,NO INFO,,NO,,,,,,,,
LTCA_155,BUILDING,BUILDING,383757.05N,0391507.85E,3104,25,NO INFO,,NO,,,,,,,,
LTCA_156,BUILDING,BUILDING,383755.97N,0391511.02E,3095,25,NO INFO,,NO,,,,,,,,
LTCA_157,BUILDING,BUILDING,383756.29N,0391510.27E,3097,25,NO INFO,,NO,,,,,,,,
LTCA_158,BUILDING,BUILDING,383757.02N,0391515.96E,3094,34,NO INFO,,NO,,,,,,,,
LTCA_159,BUILDING,BUILDING,383800.67N,0391521.81E,3113,44,NO INFO,,NO,,,,,,,,
LTCA_160,BUILDING,BUILDING,383802.32N,0391609.33E,3163,34,NO INFO,,NO,,,,,,,,
LTCA_161,BUILDING,BUILDING,383755.74N,0391602.45E,3138,34,NO INFO,,NO,,,,,,,,
LTCA_162,BUILDING,BUILDING,383758.72N,0391530.31E,3109,34,NO INFO,,NO,,,,,,,,
LTCA_163,BUILDING,BUILDING,383758.95N,0391529.88E,3099,25,NO INFO,,NO,,,,,,,,
LTCA_164,BUILDING,BUILDING,383758.63N,0391532.71E,3102,25,NO INFO,,NO,,,,,,,,
LTCA_165,BUILDING,BUILDING,383758.43N,0391531.82E,3090,15,NO INFO,,NO,,,,,,,,
LTCA_166,BUILDING,BUILDING,383757.19N,0391532.21E,3085,15,NO INFO,,NO,,,,,,,,
LTCA_167,BUILDING,BUILDING,383755.65N,0391531.86E,3088,25,NO INFO,,NO,,,,,,,,
LTCA_168,BUILDING,BUILDING,383755.98N,0391531.28E,3079,15,NO INFO,,NO,,,,,,,,
LTCA_169,BUILDING,BUILDING,383756.10N,0391528.80E,3094,34,NO INFO,,NO,,,,,,,,
LTCA_170,BUILDING,BUILDING,383756.50N,0391529.80E,3078,15,NO INFO,,NO,,,,,,,,
LTCA_171,BUILDING,BUILDING,383755.70N,0391529.88E,3075,15,NO INFO,,NO,,,,,,,,
LTCA_172,BUILDING,BUILDING,383756.08N,0391529.73E,3086,25,NO INFO,,NO,,,,,,,,
LTCA_173,BUILDING,BUILDING,383755.81N,0391529.61E,3075,15,NO INFO,,NO,,,,,,,,
LTCA_174,BUILDING,BUILDING,383758.80N,0391536.20E,3097,15,NO INFO,,NO,,,,,,,,
LTCA_175,BUILDING,BUILDING,383805.53N,0391529.76E,3164,34,NO INFO,,NO,,,,,,,,
LTCA_176,BUILDING,BUILDING,383804.46N,0391531.46E,3167,34,NO INFO,,NO,,,,,,,,
LTCA_177,BUILDING,BUILDING,383805.18N,0391553.49E,3149,34,NO INFO,,NO,,,,,,,,
LTCA_178,BUILDING,BUILDING,383805.26N,0391440.70E,3203,34,NO INFO,,NO,,,,,,,,
LTCA_179,BUILDING,BUILDING,383805.50N,0391439.07E,3189,15,NO INFO,,NO,,,,,,,,
LTCA_180,BUILDING,BUILDING,383805.61N,0391438.58E,3191,15,NO INFO,,NO,,,,,,,,
LTCA_181,BUILDING,BUILDING,383805.92N,0391438.95E,3190,15,NO INFO,,NO,,,,,,,,
LTCA_182,BUILDING,BUILDING,383805.58N,0391527.44E,3130,25,NO INFO,,NO,,,,,,,,
LTCA_183,BUILDING,BUILDING,383805.56N,0391527.69E,3142,34,NO INFO,,NO,,,,,,,,
LTCA_184,BUILDING,BUILDING,383805.29N,0391915.26E,3097,15,NO INFO,,NO,,,,,,,,
LTCA_185,BUILDING,BUILDING,383801.14N,0391459.27E,3128,15,NO INFO,,NO,,,,,,,,
LTCA_186,HIGH VOLTAGE MAST,POLE,383804.48N,0391701.99E,3509,131,NO INFO,,NO,,,,,,,,
LTCA_187,HIGH VOLTAGE MAST,POLE,383802.88N,0391651.81E,3397,131,NO INFO,,NO,,,,,,,,
LTCA_188,HIGH VOLTAGE MAST,POLE,383755.55N,0391608.24E,3244,131,NO INFO,,NO,,,,,,,,
LTCA_189,HIGH VOLTAGE MAST,POLE,383757.65N,0391611.18E,3247,131,NO INFO,,NO,,,,,,,,
LTCA_190,MEDIUM VOLTAGE MAST,POLE,383759.62N,0391608.03E,3215,98,NO INFO,,NO,,,,,,,,
LTCA_191,HIGH VOLTAGE MAST,POLE,383802.66N,0391603.17E,3253,131,NO INFO,,NO,,,,,,,,
LTCA_192,HIGH VOLTAGE MAST,POLE,383800.27N,0391602.62E,3243,131,NO INFO,,NO,,,,,,,,
LTCA_193,HIGH VOLTAGE MAST,POLE,383805.09N,0391556.84E,3250,131,NO INFO,,NO,,,,,,,,
LTCA_194,HIGH VOLTAGE MAST,POLE,383757.58N,0391618.31E,3280,131,NO INFO,,NO,,,,,,,,
LTCA_195,HIGH VOLTAGE MAST,POLE,383801.85N,0391552.26E,3234,131,NO INFO,,NO,,,,,,,,
LTCA_196,HIGH VOLTAGE MAST,POLE,383801.34N,0391550.92E,3232,131,NO INFO,,NO,,,,,,,,
LTCA_197,HIGH VOLTAGE MAST,POLE,383804.46N,0391502.09E,3228,131,NO INFO,,NO,,,,,,,,
LTCA_198,HIGH VOLTAGE MAST,POLE,383801.46N,0391555.05E,3235,131,NO INFO,,NO,,,,,,,,
LTCA_199,HIGH VOLTAGE MAST,POLE,383759.48N,0391553.65E,3227,131,NO INFO,,NO,,,,,,,,
LTCA_200,HIGH VOLTAGE MAST,POLE,383805.28N,0391448.78E,3266,131,NO INFO,,NO,,,,,,,,
LTCA_201,HIGH VOLTAGE MAST,POLE,383757.35N,0391551.67E,3218,131,NO INFO,,NO,,,,,,,,
LTCA_202,HIGH VOLTAGE MAST,POLE,383802.30N,0391540.21E,3232,131,NO INFO,,NO,,,,,,,,
LTCA_203,HIGH VOLTAGE MAST,POLE,383801.65N,0391643.90E,3346,131,NO INFO,,NO,,,,,,,,
LTCA_204,HIGH VOLTAGE MAST,POLE,383756.31N,0391545.46E,3210,131,NO INFO,,NO,,,,,,,,
LTCA_205,HIGH VOLTAGE MAST,POLE,383802.90N,0391530.88E,3239,131,NO INFO,,NO,,,,,,,,
LTCA_206,HIGH VOLTAGE MAST,POLE,383801.31N,0391533.97E,3229,131,NO INFO,,NO,,,,,,,,
LTCA_207,MAST,POLE,383747.40N,0391604.60E,3125,35,NO INFO,,NO,,,,,,,,
LTCA_208,BUILDING,BUILDING,383749.30N,0391607.70E,3133,33,NO INFO,,NO,,,,,,,,
LTCA_209,BUILDING,BUILDING,383745.40N,0391610.10E,3130,39,NO INFO,,NO,,,,,,,,
LTCA_210,BUILDING,BUILDING,383745.30N,0391605.30E,3127,42,NO INFO,,NO,,,,,,,,
LTCA_211,BUILDING,BUILDING,383745.40N,0391604.00E,3115,31,NO INFO,,NO,,,,,,,,
LTCA_212,BUILDING,BUILDING,383746.10N,0391602.90E,3114,30,NO INFO,,NO,,,,,,,,
LTCA_213,BUILDING,BUILDING,383746.50N,0391602.90E,3123,37,NO INFO,,NO,,,,,,,,
LTCA_214,BUILDING,BUILDING,383748.10N,0391603.50E,3125,34,NO INFO,,NO,,,,,,,,
LTCA_215,BUILDING,BUILDING,383748.30N,0391602.50E,3125,35,NO INFO,,NO,,,,,,,,
LTCA_216,BUILDING,BUILDING,383749.20N,0391602.00E,3129,37,NO INFO,,NO,,,,,,,,
LTCA_217,BUILDING,BUILDING,383752.10N,0391604.20E,3128,27,NO INFO,,NO,,,,,,,,
LTCA_218,BUILDING,BUILDING,383754.00N,0391602.00E,3141,41,NO INFO,,NO,,,,,,,,
LTCA_219,BUILDING,BUILDING,383749.40N,0391558.80E,3126,38,NO INFO,,NO,,,,,,,,
LTCA_220,BUILDING,BUILDING,383754.90N,0391601.20E,3131,31,NO INFO,,NO,,,,,,,,
LTCA_221,BUILDING,BUILDING,383754.40N,0391555.40E,3124,37,NO INFO,,NO,,,,,,,,
LTCA_222,MAST,POLE,383752.00N,0391611.00E,3210,98,NO INFO,,NO,,,,,,,,
LTCA_223,BUILDING,BUILDING,383754.96N,0391920.65E,3042,25,NO INFO,,NO,,,,,,,,
LTCA_224,BUILDING,BUILDING,383751.25N,0391457.43E,3167,44,NO INFO,,NO,,,,,,,,
LTCA_225,BUILDING,BUILDING,383747.30N,0391508.81E,3114,34,NO INFO,,NO,,,,,,,,
LTCA_226,BUILDING,BUILDING,383754.61N,0391510.05E,3089,15,NO INFO,,NO,,,,,,,,
LTCA_227,BUILDING,BUILDING,383755.01N,0391510.88E,3086,15,NO INFO,,NO,,,,,,,,
LTCA_228,BUILDING,BUILDING,383751.84N,0391521.22E,3065,15,NO INFO,,NO,,,,,,,,
LTCA_229,BUILDING,BUILDING,383751.42N,0391519.12E,3065,15,NO INFO,,NO,,,,,,,,
LTCA_230,BUILDING,BUILDING,383750.82N,0391514.50E,3076,15,NO INFO,,NO,,,,,,,,
LTCA_231,BUILDING,BUILDING,383749.73N,0391606.74E,3134,34,NO INFO,,NO,,,,,,,,
LTCA_232,BUILDING,BUILDING,383753.50N,0391603.40E,3136,34,NO INFO,,NO,,,,,,,,
LTCA_233,BUILDING,BUILDING,383755.54N,0391530.57E,3086,25,NO INFO,,NO,,,,,,,,
LTCA_234,BUILDING,BUILDING,383754.59N,0391531.34E,3083,25,NO INFO,,NO,,,,,,,,
LTCA_235,BUILDING,BUILDING,383749.98N,0391558.52E,3123,34,NO INFO,,NO,,,,,,,,
LTCA_236,BUILDING,BUILDING,383745.58N,0391602.58E,3118,34,NO INFO,,NO,,,,,,,,
