Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTBJ61,BUILDING,BUILDING,381803.948N,0270743.712E,664.05,9.84,NO INFO,,NO
LTBJ62,BUILDING,BUILDING,381804.281N,0270745.551E,666.00,9.84,NO INFO,,NO
LTBJ63,BUILDING,BUILDING,381813.896N,0270753.416E,583.67,10.50,NO INFO,,NO
LTBJ64,BUILDING,BUILDING,381804.828N,0270748.704E,633.19,9.84,NO INFO,,NO
LTBJ65,BUILDING,BUILDING,381813.136N,0270748.872E,617.46,9.84,NO INFO,,NO
LTBJ66,BUILDING,BUILDING,381805.433N,0270752.481E,615.78,12.72,NO INFO,,NO
LTBJ67,BUILDING,BUILDING,381803.814N,0270744.479E,661.45,9.84,NO INFO,,NO
LTBJ68,BUILDING,BUILDING,381805.459N,0270753.432E,611.43,16.22,NO INFO,,NO
LTBJ69,BUILDING,BUILDING,381813.747N,0270751.021E,605.36,9.30,NO INFO,,NO
LTBJ70,BUILDING,BUILDING,381806.148N,0270757.398E,549.27,10.66,NO INFO,,NO
LTBJ71,BUILDING,BUILDING,381805.036N,0270751.570E,622.35,10.50,NO INFO,,NO
LTBJ72,BUILDING,BUILDING,381802.247N,0270736.741E,600.39,9.84,NO INFO,,NO
LTBJ73,BUILDING,BUILDING,381805.459N,0270753.904E,607.77,16.61,NO INFO,,NO
LTBJ74,BUILDING,BUILDING,381804.561N,0270749.232E,633.19,9.84,NO INFO,,NO
LTBJ75,BUILDING,BUILDING,381805.503N,0270754.414E,604.87,16.36,NO INFO,,NO
LTBJ76,BUILDING,BUILDING,381802.271N,0270737.365E,600.39,9.84,NO INFO,,NO
LTBJ77,BUILDING,BUILDING,381802.078N,0270737.387E,600.39,9.84,NO INFO,,NO
LTBJ78,BUILDING,BUILDING,381804.731N,0270751.606E,623.92,12.93,NO INFO,,NO
LTBJ79,BUILDING,BUILDING,381803.592N,0270745.706E,656.74,9.84,NO INFO,,NO
LTBJ80,BUILDING,BUILDING,381804.319N,0270749.834E,631.69,9.84,NO INFO,,NO
LTBJ81,BUILDING,BUILDING,381803.244N,0270744.204E,643.65,9.84,NO INFO,,NO
LTBJ82,BUILDING,BUILDING,381804.170N,0270749.202E,632.41,9.84,NO INFO,,NO
LTBJ83,BUILDING,BUILDING,381801.740N,0270736.489E,600.39,9.84,NO INFO,,NO
LTBJ84,BUILDING,BUILDING,381804.795N,0270753.407E,609.20,12.95,NO INFO,,NO
LTBJ85,BUILDING,BUILDING,381804.666N,0270752.880E,612.70,12.62,NO INFO,,NO
LTBJ86,BUILDING,BUILDING,381804.392N,0270752.630E,609.67,11.18,NO INFO,,NO
LTBJ87,BUILDING,BUILDING,381817.951N,0270807.588E,584.89,54.79,NO INFO,,NO
LTBJ88,BUILDING,BUILDING,381804.130N,0270752.381E,608.24,11.46,NO INFO,,NO
LTBJ89,BUILDING,BUILDING,381801.166N,0270736.604E,600.39,9.84,NO INFO,,NO
LTBJ90,BUILDING,BUILDING,381817.104N,0270802.829E,544.71,10.08,NO INFO,,NO
LTBJ91,BUILDING,BUILDING,381804.114N,0270753.109E,602.18,12.92,NO INFO,,NO
LTBJ92,BUILDING,BUILDING,381818.153N,0270807.480E,582.86,52.21,NO INFO,,NO
LTBJ93,BUILDING,BUILDING,381803.640N,0270751.156E,621.37,15.78,NO INFO,,NO
LTBJ94,BUILDING,BUILDING,381804.320N,0270754.803E,587.03,10.50,NO INFO,,NO
LTBJ95,BUILDING,BUILDING,381804.183N,0270754.099E,590.75,10.50,NO INFO,,NO
LTBJ96,BUILDING,BUILDING,381803.252N,0270749.311E,621.00,9.84,NO INFO,,NO
LTBJ97,BUILDING,BUILDING,381805.323N,0270800.451E,542.47,9.60,NO INFO,,NO
LTBJ98,BUILDING,BUILDING,381820.966N,0270821.994E,555.40,82.47,NO INFO,,NO
LTBJ99,BUILDING,BUILDING,381821.446N,0270824.545E,555.40,86.98,NO INFO,,NO
LTBJ100,BUILDING,BUILDING,381804.154N,0270754.370E,588.22,10.50,NO INFO,,NO
LTBJ101,BUILDING,BUILDING,381821.208N,0270823.130E,555.40,83.85,NO INFO,,NO
